Pool code,5,6,8,10,11,12,14,15,16,18,20,21,22,24,25,26,27,31,36,8,14,10,10,16,17,15,20,24,22,21,6,5,11,12,25,18,27,10,16,8,24,15,14,26,18,4,2,9,8,3,6,7,5,6,17,1,2,3,4,5
Type,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,-6,2,2,2,2,2
1998,3,1.04637917,2.206722873,0.431114829,0.390839695,,0.291554282,9.797546012,0.438035853,3.308481532,0.635547066,1.184622529,1.067098465,0.894633973,1.097560976,1.238278248,1.4,0.986467236,1.028300572,0.66823127,0.926981427,0.61410298,1.109530356,0.647063657,0.61339809,1.521745646,0.721833803,0.269001566,0.929497169,0.880082954,0.303163349,0.458791832,0.261149217,2.317582199,,1.642141207,,0.36,0.3,1.32,0.67,1.75,0.22,0.41,0.63,0.73,0.72,1,1,1,0.39,1,0.84,11.56055819,0.176226944,8.107636054,0.6002075,11.24507296,34.05245558,11.25743639
1999,0.85,0.898291294,1.257527647,0.233122237,,,0.340441672,3.145073981,0.14731099,3.541723666,0.66448545,1.069499543,0.788580546,0.848436389,0.195121951,4.654496541,2.633333333,0.992165242,1.441795622,1.169850453,0.987528674,0.604361125,1.069427433,0.701896283,0.673682914,1.564579899,0.669033545,0.504027307,0.587020182,0.672456305,0.542257745,1.383550687,0.378880176,0.802187388,,0.695587347,,0.41,0.32,1.41,0.66,0.98,0.2,0.38,0.91,0.71,0.54,1,1,1,0.55,1,1.16,11.56500796,0.153236038,8.123007377,0.599732156,11.82532918,33.90636222,11.84891578
2000,2.3,0.970707893,0.937369977,0.483092365,0.46186523,,0.416554282,10.68892097,0.276955053,4.101915185,0.718175906,1.113400397,0.813411502,0.987473348,2.609756098,1.686010761,7.8,1.148148148,1.048515266,0.749481498,1.007312463,0.766700653,1.629496857,0.690754902,0.636004899,2.127695872,0.705930528,0.432932668,7.789034892,0.624141968,0.591975369,0.676877098,0.105051908,0.334759574,,0.437358758,,0.39,0.33,1.4,0.65,1.53,0.21,0.3,0.73,0.63,0.47,1,1,1,0.61,1,1.07,11.55568797,0.195870575,8.119381984,0.522281132,11.46184599,33.81018257,11.49116437
2001,4.725,1.06997559,0.507609767,0.688134783,0.511200835,,0.287929872,11.61024901,0.34294622,2.454514364,0.727605267,1.10452682,0.823691834,0.980010661,3.268292683,1.014219831,8.666666667,1.295584046,1.546075561,0.485318197,1.252091362,0.871270334,4.868746148,0.65543741,0.779181357,1.43931622,0.790580621,0.341267785,0.833872317,1.254482924,0.470682355,2.043087918,0.508602656,1.703759286,0.448313784,0.493120794,,0.28,0.37,1.22,0.62,1.63,0.178,0.4,1.18,0.6,0.42,1,1,1,0.26,1,1.23,11.55697883,0.082267527,8.118439992,0.61015482,11.46160082,33.492184,11.48541586
2002,3.825,1.170870627,0.798751779,0.634842873,0.556337664,,0.621544167,5.470227355,0.427123928,1.708618331,0.730531621,0.96488474,0.907990557,0.922263682,4.975609756,1.915449654,20.46666667,1.473646724,0.935731214,0.689298839,1.552573017,0.839111091,1.017127004,0.627231132,0.640526261,1.243069404,0.687121897,0.325631696,1.474445379,0.735472873,0.773014073,7.792853096,0.496743608,1.283837923,0.379360247,0.479505569,,0.24,0.39,1.2,0.59,1.68,0.166,0.33,0.81,0.46,0.3,1,1,1,0.46,1,1.19,11.5671467,0.145991467,8.108976126,0.563618378,11.97327582,33.6736358,11.99685061
2003,3.15,1.084621644,0.407533122,0.456924364,0.331178364,,0.687626433,8.719956694,0.418810081,9.851573187,0.635994147,0.867975939,0.865762116,1.068141436,8.829268293,0.654496541,10.46666667,1.37962963,1.258190436,0.635811229,1.525394202,0.735167076,1.586488797,0.612802507,0.434050737,1.57640658,0.811572598,0.262355101,1.630261023,0.744095272,0.529783074,8.502515623,0.111123185,1.80259802,0.519762786,0.769512355,0.337817199,0.24,0.41,1.13,0.57,1.39,0.192,0.31,0.7,0.54,0.25,1,1,1,0.23,1,1.18,11.55964066,0.287598475,8.103139242,0.666049449,11.7590243,33.89835135,11.78943725
2004,3.05,1.016273393,0.241213183,0.295853746,0.29181485,,0.569538098,6.678455431,0.288906209,4.871067031,0.580718582,0.852330422,0.883001442,1.103855721,8.926829268,0.110684089,15.63333333,1.163105413,1.118081695,0.608776334,1.50497024,0.66684896,1.53001027,0.797038211,0.528999336,1.915415029,0.789803205,0.3819464,1.590950481,0.713787661,0.503612494,8.920003641,0.576059351,1.485445867,0.521215683,0.299092941,1.913240132,0.21,0.37,1.16,0.56,2.1,0.24,0.23,0.71,0.50590511,0.234848304,0.881774767,0.845750424,1.058458344,0.183956084,0.935593391,1.031861432,11.54381601,0.518136131,8.100101789,0.631100087,11.46227805,33.95203368,11.49464726
2005,4.575,0.941415785,0.196430527,0.219381049,0.238805318,,0.58454147,1.597257308,0.221875812,7.860807114,0.549463502,0.781341806,0.805503555,0.993781095,11.75609756,0.068024596,7.2,0.547008547,1.168269901,0.53276571,1.360934273,0.599151875,2.088816305,0.743473928,0.991685364,2.28219197,0.89719576,0.32937174,0.971240949,0.800977949,0.470357393,13.97182595,0.563672653,3.659785468,1.278559034,0.372694221,0.748942669,0.193,0.3,1.03,0.55,1.37,0.29,0.21,0.96,0.512574304,0.200495462,0.635273212,0.628200679,1.278783028,0.151390908,1.155782793,0.875713626,11.53485672,0.447654782,8.104782025,0.627635178,11.45026374,33.96776803,11.48473406
2006,4.69775,0.933279089,0.195291799,0.206452384,0.223590008,0.221831461,0.459769049,12.13078672,0.065003897,3.727017784,0.526637945,0.705029044,0.847055075,0.788868159,13.43414634,0.172571099,11.817,0.875021368,1.274487662,0.57158971,1.11105367,0.556402651,1.07423388,0.701586223,1.050463068,1.761887197,1.005310326,0.241525758,1.056460816,1.8493126,1.041956103,11.24880881,0.04555773,1.000524859,1.330547742,0.234101563,5.781815378,0.23,0.28,0.93,0.5,1.66,0.25,0.186,1.17,0.443924876,0.187183885,0.44827299,0.385701064,2.355855028,0.188465888,2.468728592,0.729330254,11.55191361,0.372606682,8.094808658,0.590884802,11.54421099,33.98420715,11.59580863
2007,5.938,0.910496338,0.200262783,0.145227626,0.174989189,0.775191011,0.201980782,9.456008661,0.06274357,0.275820793,0.441940335,0.99671286,0.73839671,0.814108031,13.26585366,0.04501153,6.943333333,0.931274929,1.329973512,0.588945894,0.883138402,0.504537239,0.671191965,0.745800141,0.519956612,1.456087974,1.044814857,0.199855806,1.506928359,1.413618625,0.421142647,2.636200756,1.143580485,0.467885973,0.332847079,0.276926956,29.3823646,0.21,0.31,0.88,0.45,1.68,0.22,0.148,0.42,0.364829783,0.215365284,0.35406486,0.579592781,2.095350372,0.142151722,1.957445094,0.94208776,11.54643354,0.366463883,8.096644799,0.669164797,12.1307588,33.84883849,12.15406148
2008,4.1705,0.861676159,0.287759772,0.158298482,0.157202129,0.865089888,0.110814228,3.24193432,0.066331515,0.492920657,0.457649569,1.014039687,0.613161705,0.809418088,13.35414634,0.170069178,6.343333333,0.897663818,1.394437474,1.094967798,0.940884888,0.516990314,4.270019398,0.88325286,0.24566066,1.134277777,1.332363727,0.323705348,1.875482013,1.412609463,1.227353223,19.5123274,1.531087441,4.239536502,0.885762583,0.384812207,10.68611225,0.21,0.29,1,0.44,1.59,0.135,0.117,0.8,0.320343159,0.262259514,0.539232563,0.661383619,1.798591808,0.071413674,1.720975217,1.018170901,11.51246314,0.190342229,8.085077604,0.671276712,11.5227265,33.89366341,11.54515803
2009,5.85325,0.706265256,0.451242746,0.302174692,0.256497905,0.383966292,0.260595078,4.237134608,0.168563263,0.25995212,0.562965371,0.897375501,0.633907415,0.874031628,16.96390244,0.04566103,6.083666667,0.500868946,1.929638924,0.929410909,1.162230117,0.539695046,5.296158937,1.099509647,0.14769782,1.801724436,1.553723115,0.300037175,1.682479454,2.106905867,1.542568443,13.4936171,0.287396671,1.097431667,4.713739168,0.419370101,99.7183021,0.22,0.26,0.95,0.47,0.92,0.071,0.106,1,0.368916364,0.285136927,0.213099733,0.437278266,1.650353129,0.140614673,0.877412855,1.146789838,11.51552515,0.149825904,8.093026638,0.612546163,11.54752517,34.02165826,11.57876281
