# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: NWSHELF_MULTIYEAR_BGC_004_011
# Dataset: cmems_mod_nws_bgc-no3_my_7km-3D_P1M-m
# Variable: Mole concentration of nitrate in sea water (no3) mmol m-3
# Geometry: POLYGON ((0.911397 50.953499, 0.911397 50.957347, 2.658513 50.922713, 4.467201 51.980988, 4.467201 51.980988, 7.923186 53.782503, 7.923186 53.782503, -0.748992 53.817121, -0.748992 53.817121, 0.911397 50.953499))
# Values from graph: v(t): value vs. time
# Depth: 0 m

time,no3
1993-01-01T00:00:00.000Z,22.629987716674805
1993-02-01T00:00:00.000Z,24.15049934387207
1993-03-01T00:00:00.000Z,24.85409164428711
1993-04-01T00:00:00.000Z,23.188129425048828
1993-05-01T00:00:00.000Z,19.619054794311523
1993-06-01T00:00:00.000Z,16.407350540161133
1993-07-01T00:00:00.000Z,13.454509735107422
1993-08-01T00:00:00.000Z,11.67202377319336
1993-09-01T00:00:00.000Z,13.170260429382324
1993-10-01T00:00:00.000Z,16.237285614013672
1993-11-01T00:00:00.000Z,19.347293853759766
1993-12-01T00:00:00.000Z,21.104434967041016
1994-01-01T00:00:00.000Z,25.213329315185547
1994-02-01T00:00:00.000Z,26.67322540283203
1994-03-01T00:00:00.000Z,24.670482635498047
1994-04-01T00:00:00.000Z,23.677772521972656
1994-05-01T00:00:00.000Z,20.842369079589844
1994-06-01T00:00:00.000Z,17.05030059814453
1994-07-01T00:00:00.000Z,13.617837905883789
1994-08-01T00:00:00.000Z,12.398426055908203
1994-09-01T00:00:00.000Z,12.569987297058105
1994-10-01T00:00:00.000Z,14.91089153289795
1994-11-01T00:00:00.000Z,16.85460662841797
1994-12-01T00:00:00.000Z,18.839996337890625
1995-01-01T00:00:00.000Z,21.496877670288086
1995-02-01T00:00:00.000Z,24.902828216552734
1995-03-01T00:00:00.000Z,23.081363677978516
1995-04-01T00:00:00.000Z,22.479982376098633
1995-05-01T00:00:00.000Z,19.29696273803711
1995-06-01T00:00:00.000Z,17.572795867919922
1995-07-01T00:00:00.000Z,13.885255813598633
1995-08-01T00:00:00.000Z,13.240458488464355
1995-09-01T00:00:00.000Z,14.43250560760498
1995-10-01T00:00:00.000Z,16.140045166015625
1995-11-01T00:00:00.000Z,18.02265167236328
1995-12-01T00:00:00.000Z,20.2368106842041
1996-01-01T00:00:00.000Z,22.221954345703125
1996-02-01T00:00:00.000Z,23.538541793823242
1996-03-01T00:00:00.000Z,24.130598068237305
1996-04-01T00:00:00.000Z,22.715980529785156
1996-05-01T00:00:00.000Z,18.70164680480957
1996-06-01T00:00:00.000Z,14.744416236877441
1996-07-01T00:00:00.000Z,12.523694038391113
1996-08-01T00:00:00.000Z,11.632619857788086
1996-09-01T00:00:00.000Z,13.672624588012695
1996-10-01T00:00:00.000Z,15.52829647064209
1996-11-01T00:00:00.000Z,16.724733352661133
1996-12-01T00:00:00.000Z,20.563095092773438
1997-01-01T00:00:00.000Z,23.71936798095703
1997-02-01T00:00:00.000Z,23.787086486816406
1997-03-01T00:00:00.000Z,26.083799362182617
1997-04-01T00:00:00.000Z,24.70453453063965
1997-05-01T00:00:00.000Z,20.715869903564453
1997-06-01T00:00:00.000Z,17.36128044128418
1997-07-01T00:00:00.000Z,14.909536361694336
1997-08-01T00:00:00.000Z,13.485142707824707
1997-09-01T00:00:00.000Z,14.181041717529297
1997-10-01T00:00:00.000Z,16.72962760925293
1997-11-01T00:00:00.000Z,20.03472137451172
1997-12-01T00:00:00.000Z,21.961763381958008
1998-01-01T00:00:00.000Z,23.101390838623047
1998-02-01T00:00:00.000Z,23.985511779785156
1998-03-01T00:00:00.000Z,23.724510192871094
1998-04-01T00:00:00.000Z,22.462038040161133
1998-05-01T00:00:00.000Z,20.888980865478516
1998-06-01T00:00:00.000Z,18.23599624633789
1998-07-01T00:00:00.000Z,14.464873313903809
1998-08-01T00:00:00.000Z,11.619945526123047
1998-09-01T00:00:00.000Z,11.299237251281738
1998-10-01T00:00:00.000Z,12.099637985229492
1998-11-01T00:00:00.000Z,15.43017864227295
1998-12-01T00:00:00.000Z,16.987960815429688
1999-01-01T00:00:00.000Z,18.339439392089844
1999-02-01T00:00:00.000Z,19.550260543823242
1999-03-01T00:00:00.000Z,20.883464813232422
1999-04-01T00:00:00.000Z,16.9493408203125
1999-05-01T00:00:00.000Z,15.015841484069824
1999-06-01T00:00:00.000Z,14.08804702758789
1999-07-01T00:00:00.000Z,12.589290618896484
1999-08-01T00:00:00.000Z,11.753538131713867
1999-09-01T00:00:00.000Z,11.510581016540527
1999-10-01T00:00:00.000Z,11.826525688171387
1999-11-01T00:00:00.000Z,12.634419441223145
1999-12-01T00:00:00.000Z,12.813628196716309
2000-01-01T00:00:00.000Z,15.593947410583496
2000-02-01T00:00:00.000Z,16.588184356689453
2000-03-01T00:00:00.000Z,18.048460006713867
2000-04-01T00:00:00.000Z,17.485065460205078
2000-05-01T00:00:00.000Z,15.019859313964844
2000-06-01T00:00:00.000Z,12.541330337524414
2000-07-01T00:00:00.000Z,11.541841506958008
2000-08-01T00:00:00.000Z,11.257970809936523
2000-09-01T00:00:00.000Z,11.316807746887207
2000-10-01T00:00:00.000Z,11.824620246887207
2000-11-01T00:00:00.000Z,12.727315902709961
2000-12-01T00:00:00.000Z,13.81682300567627
2001-01-01T00:00:00.000Z,15.885321617126465
2001-02-01T00:00:00.000Z,18.207305908203125
2001-03-01T00:00:00.000Z,18.39724349975586
2001-04-01T00:00:00.000Z,17.61845588684082
