"","year","P_copernicus","P_schelde","month"
"1",1991,NA,0.0467272727272727,1
"2",1991,NA,0.0467272727272727,2
"3",1991,NA,0.0467272727272727,3
"4",1991,NA,0.0467272727272727,4
"5",1991,NA,0.0467272727272727,5
"6",1991,NA,0.0467272727272727,6
"7",1991,NA,0.0467272727272727,7
"8",1991,NA,0.0467272727272727,8
"9",1991,NA,0.0467272727272727,9
"10",1991,NA,0.0467272727272727,10
"11",1991,NA,0.0467272727272727,11
"12",1991,NA,0.0467272727272727,12
"13",1992,NA,0.0433,1
"14",1992,NA,0.0433,2
"15",1992,NA,0.0433,3
"16",1992,NA,0.0433,4
"17",1992,NA,0.0433,5
"18",1992,NA,0.0433,6
"19",1992,NA,0.0433,7
"20",1992,NA,0.0433,8
"21",1992,NA,0.0433,9
"22",1992,NA,0.0433,10
"23",1992,NA,0.0433,11
"24",1992,NA,0.0433,12
"25",1993,0.60957020275,0.036,1
"26",1993,0.60957020275,0.036,2
"27",1993,0.60957020275,0.036,3
"28",1993,0.60957020275,0.036,4
"29",1993,0.60957020275,0.036,5
"30",1993,0.60957020275,0.036,6
"31",1993,0.60957020275,0.036,7
"32",1993,0.60957020275,0.036,8
"33",1993,0.60957020275,0.036,9
"34",1993,0.60957020275,0.036,10
"35",1993,0.60957020275,0.036,11
"36",1993,0.60957020275,0.036,12
"37",1994,0.54522268725,0.04125,1
"38",1994,0.54522268725,0.04125,2
"39",1994,0.54522268725,0.04125,3
"40",1994,0.54522268725,0.04125,4
"41",1994,0.54522268725,0.04125,5
"42",1994,0.54522268725,0.04125,6
"43",1994,0.54522268725,0.04125,7
"44",1994,0.54522268725,0.04125,8
"45",1994,0.54522268725,0.04125,9
"46",1994,0.54522268725,0.04125,10
"47",1994,0.54522268725,0.04125,11
"48",1994,0.54522268725,0.04125,12
"49",1995,0.512578131166667,0.0360833333333333,1
"50",1995,0.512578131166667,0.0360833333333333,2
"51",1995,0.512578131166667,0.0360833333333333,3
"52",1995,0.512578131166667,0.0360833333333333,4
"53",1995,0.512578131166667,0.0360833333333333,5
"54",1995,0.512578131166667,0.0360833333333333,6
"55",1995,0.512578131166667,0.0360833333333333,7
"56",1995,0.512578131166667,0.0360833333333333,8
"57",1995,0.512578131166667,0.0360833333333333,9
"58",1995,0.512578131166667,0.0360833333333333,10
"59",1995,0.512578131166667,0.0360833333333333,11
"60",1995,0.512578131166667,0.0360833333333333,12
"61",1996,0.576069715166667,0.022,1
"62",1996,0.576069715166667,0.022,2
"63",1996,0.576069715166667,0.022,3
"64",1996,0.576069715166667,0.022,4
"65",1996,0.576069715166667,0.022,5
"66",1996,0.576069715166667,0.022,6
"67",1996,0.576069715166667,0.022,7
"68",1996,0.576069715166667,0.022,8
"69",1996,0.576069715166667,0.022,9
"70",1996,0.576069715166667,0.022,10
"71",1996,0.576069715166667,0.022,11
"72",1996,0.576069715166667,0.022,12
"73",1997,0.637793578166667,0.0204545454545455,1
"74",1997,0.637793578166667,0.0204545454545455,2
"75",1997,0.637793578166667,0.0204545454545455,3
"76",1997,0.637793578166667,0.0204545454545455,4
"77",1997,0.637793578166667,0.0204545454545455,5
"78",1997,0.637793578166667,0.0204545454545455,6
"79",1997,0.637793578166667,0.0204545454545455,7
"80",1997,0.637793578166667,0.0204545454545455,8
"81",1997,0.637793578166667,0.0204545454545455,9
"82",1997,0.637793578166667,0.0204545454545455,10
"83",1997,0.637793578166667,0.0204545454545455,11
"84",1997,0.637793578166667,0.0204545454545455,12
"85",1998,0.584090255166667,0.0257777777777778,1
"86",1998,0.584090255166667,0.0257777777777778,2
"87",1998,0.584090255166667,0.0257777777777778,3
"88",1998,0.584090255166667,0.0257777777777778,4
"89",1998,0.584090255166667,0.0257777777777778,5
"90",1998,0.584090255166667,0.0257777777777778,6
"91",1998,0.584090255166667,0.0257777777777778,7
"92",1998,0.584090255166667,0.0257777777777778,8
"93",1998,0.584090255166667,0.0257777777777778,9
"94",1998,0.584090255166667,0.0257777777777778,10
"95",1998,0.584090255166667,0.0257777777777778,11
"96",1998,0.584090255166667,0.0257777777777778,12
"97",1999,0.257036721333333,0.0251818181818182,1
"98",1999,0.257036721333333,0.0251818181818182,2
"99",1999,0.257036721333333,0.0251818181818182,3
"100",1999,0.257036721333333,0.0251818181818182,4
"101",1999,0.257036721333333,0.0251818181818182,5
"102",1999,0.257036721333333,0.0251818181818182,6
"103",1999,0.257036721333333,0.0251818181818182,7
"104",1999,0.257036721333333,0.0251818181818182,8
"105",1999,0.257036721333333,0.0251818181818182,9
"106",1999,0.257036721333333,0.0251818181818182,10
"107",1999,0.257036721333333,0.0251818181818182,11
"108",1999,0.257036721333333,0.0251818181818182,12
"109",2000,0.247040958416667,0.0245,1
"110",2000,0.247040958416667,0.0245,2
"111",2000,0.247040958416667,0.0245,3
"112",2000,0.247040958416667,0.0245,4
"113",2000,0.247040958416667,0.0245,5
"114",2000,0.247040958416667,0.0245,6
"115",2000,0.247040958416667,0.0245,7
"116",2000,0.247040958416667,0.0245,8
"117",2000,0.247040958416667,0.0245,9
"118",2000,0.247040958416667,0.0245,10
"119",2000,0.247040958416667,0.0245,11
"120",2000,0.247040958416667,0.0245,12
"121",2001,0.26007133525,0.0206666666666667,1
"122",2001,0.26007133525,0.0206666666666667,2
"123",2001,0.26007133525,0.0206666666666667,3
"124",2001,0.26007133525,0.0206666666666667,4
"125",2001,0.26007133525,0.0206666666666667,5
"126",2001,0.26007133525,0.0206666666666667,6
"127",2001,0.26007133525,0.0206666666666667,7
"128",2001,0.26007133525,0.0206666666666667,8
"129",2001,0.26007133525,0.0206666666666667,9
"130",2001,0.26007133525,0.0206666666666667,10
"131",2001,0.26007133525,0.0206666666666667,11
"132",2001,0.26007133525,0.0206666666666667,12
"133",2002,0.2584797945,0.0267272727272727,1
"134",2002,0.2584797945,0.0267272727272727,2
"135",2002,0.2584797945,0.0267272727272727,3
"136",2002,0.2584797945,0.0267272727272727,4
"137",2002,0.2584797945,0.0267272727272727,5
"138",2002,0.2584797945,0.0267272727272727,6
"139",2002,0.2584797945,0.0267272727272727,7
"140",2002,0.2584797945,0.0267272727272727,8
"141",2002,0.2584797945,0.0267272727272727,9
"142",2002,0.2584797945,0.0267272727272727,10
"143",2002,0.2584797945,0.0267272727272727,11
"144",2002,0.2584797945,0.0267272727272727,12
"145",2003,0.350373866666667,0.0291818181818182,1
"146",2003,0.350373866666667,0.0291818181818182,2
"147",2003,0.350373866666667,0.0291818181818182,3
"148",2003,0.350373866666667,0.0291818181818182,4
"149",2003,0.350373866666667,0.0291818181818182,5
"150",2003,0.350373866666667,0.0291818181818182,6
"151",2003,0.350373866666667,0.0291818181818182,7
"152",2003,0.350373866666667,0.0291818181818182,8
"153",2003,0.350373866666667,0.0291818181818182,9
"154",2003,0.350373866666667,0.0291818181818182,10
"155",2003,0.350373866666667,0.0291818181818182,11
"156",2003,0.350373866666667,0.0291818181818182,12
"157",2004,0.354230529333333,0.0227272727272727,1
"158",2004,0.354230529333333,0.0227272727272727,2
"159",2004,0.354230529333333,0.0227272727272727,3
"160",2004,0.354230529333333,0.0227272727272727,4
"161",2004,0.354230529333333,0.0227272727272727,5
"162",2004,0.354230529333333,0.0227272727272727,6
"163",2004,0.354230529333333,0.0227272727272727,7
"164",2004,0.354230529333333,0.0227272727272727,8
"165",2004,0.354230529333333,0.0227272727272727,9
"166",2004,0.354230529333333,0.0227272727272727,10
"167",2004,0.354230529333333,0.0227272727272727,11
"168",2004,0.354230529333333,0.0227272727272727,12
"169",2005,0.28596933175,0.0263636363636364,1
"170",2005,0.28596933175,0.0263636363636364,2
"171",2005,0.28596933175,0.0263636363636364,3
"172",2005,0.28596933175,0.0263636363636364,4
"173",2005,0.28596933175,0.0263636363636364,5
"174",2005,0.28596933175,0.0263636363636364,6
"175",2005,0.28596933175,0.0263636363636364,7
"176",2005,0.28596933175,0.0263636363636364,8
"177",2005,0.28596933175,0.0263636363636364,9
"178",2005,0.28596933175,0.0263636363636364,10
"179",2005,0.28596933175,0.0263636363636364,11
"180",2005,0.28596933175,0.0263636363636364,12
