,year,P_copernicus,P_copernicus_completed,P_schelde,month,PO4_y_copernicus_1,PO4_y_copernicus_2,PO4_y_copernicus_3,PO4_y_copernicus_4,PO4_y_schelde_1,PO4_y_schelde_2,PO4_y_schelde_3,PO4_y_schelde_4
49,1995,0.512578131,0.512578131,0.036083333,1,0.840884493,0.968176899,0.936353797,0.904530696,0.772211414,0.954442283,0.908884565,0.863326848
50,1995,0.512578131,0.512578131,0.036083333,2,0.840884493,0.968176899,0.936353797,0.904530696,0.772211414,0.954442283,0.908884565,0.863326848
51,1995,0.512578131,0.512578131,0.036083333,3,0.840884493,0.968176899,0.936353797,0.904530696,0.772211414,0.954442283,0.908884565,0.863326848
52,1995,0.512578131,0.512578131,0.036083333,4,0.840884493,0.968176899,0.936353797,0.904530696,0.772211414,0.954442283,0.908884565,0.863326848
53,1995,0.512578131,0.512578131,0.036083333,5,0.840884493,0.968176899,0.936353797,0.904530696,0.772211414,0.954442283,0.908884565,0.863326848
54,1995,0.512578131,0.512578131,0.036083333,6,0.840884493,0.968176899,0.936353797,0.904530696,0.772211414,0.954442283,0.908884565,0.863326848
55,1995,0.512578131,0.512578131,0.036083333,7,0.840884493,0.968176899,0.936353797,0.904530696,0.772211414,0.954442283,0.908884565,0.863326848
56,1995,0.512578131,0.512578131,0.036083333,8,0.840884493,0.968176899,0.936353797,0.904530696,0.772211414,0.954442283,0.908884565,0.863326848
57,1995,0.512578131,0.512578131,0.036083333,9,0.840884493,0.968176899,0.936353797,0.904530696,0.772211414,0.954442283,0.908884565,0.863326848
58,1995,0.512578131,0.512578131,0.036083333,10,0.840884493,0.968176899,0.936353797,0.904530696,0.772211414,0.954442283,0.908884565,0.863326848
59,1995,0.512578131,0.512578131,0.036083333,11,0.840884493,0.968176899,0.936353797,0.904530696,0.772211414,0.954442283,0.908884565,0.863326848
60,1995,0.512578131,0.512578131,0.036083333,12,0.840884493,0.968176899,0.936353797,0.904530696,0.772211414,0.954442283,0.908884565,0.863326848
61,1996,0.576069715,0.576069715,0.022,1,0.945042445,0.989008489,0.978016978,0.967025467,0.470817121,0.894163424,0.788326848,0.682490272
62,1996,0.576069715,0.576069715,0.022,2,0.945042445,0.989008489,0.978016978,0.967025467,0.470817121,0.894163424,0.788326848,0.682490272
63,1996,0.576069715,0.576069715,0.022,3,0.945042445,0.989008489,0.978016978,0.967025467,0.470817121,0.894163424,0.788326848,0.682490272
64,1996,0.576069715,0.576069715,0.022,4,0.945042445,0.989008489,0.978016978,0.967025467,0.470817121,0.894163424,0.788326848,0.682490272
65,1996,0.576069715,0.576069715,0.022,5,0.945042445,0.989008489,0.978016978,0.967025467,0.470817121,0.894163424,0.788326848,0.682490272
66,1996,0.576069715,0.576069715,0.022,6,0.945042445,0.989008489,0.978016978,0.967025467,0.470817121,0.894163424,0.788326848,0.682490272
67,1996,0.576069715,0.576069715,0.022,7,0.945042445,0.989008489,0.978016978,0.967025467,0.470817121,0.894163424,0.788326848,0.682490272
68,1996,0.576069715,0.576069715,0.022,8,0.945042445,0.989008489,0.978016978,0.967025467,0.470817121,0.894163424,0.788326848,0.682490272
69,1996,0.576069715,0.576069715,0.022,9,0.945042445,0.989008489,0.978016978,0.967025467,0.470817121,0.894163424,0.788326848,0.682490272
70,1996,0.576069715,0.576069715,0.022,10,0.945042445,0.989008489,0.978016978,0.967025467,0.470817121,0.894163424,0.788326848,0.682490272
71,1996,0.576069715,0.576069715,0.022,11,0.945042445,0.989008489,0.978016978,0.967025467,0.470817121,0.894163424,0.788326848,0.682490272
72,1996,0.576069715,0.576069715,0.022,12,0.945042445,0.989008489,0.978016978,0.967025467,0.470817121,0.894163424,0.788326848,0.682490272
73,1997,0.637793578,0.637793578,0.020454545,1,1.04630045,1.00926009,1.01852018,1.02778027,0.437743191,0.887548638,0.775097276,0.662645914
74,1997,0.637793578,0.637793578,0.020454545,2,1.04630045,1.00926009,1.01852018,1.02778027,0.437743191,0.887548638,0.775097276,0.662645914
75,1997,0.637793578,0.637793578,0.020454545,3,1.04630045,1.00926009,1.01852018,1.02778027,0.437743191,0.887548638,0.775097276,0.662645914
76,1997,0.637793578,0.637793578,0.020454545,4,1.04630045,1.00926009,1.01852018,1.02778027,0.437743191,0.887548638,0.775097276,0.662645914
77,1997,0.637793578,0.637793578,0.020454545,5,1.04630045,1.00926009,1.01852018,1.02778027,0.437743191,0.887548638,0.775097276,0.662645914
78,1997,0.637793578,0.637793578,0.020454545,6,1.04630045,1.00926009,1.01852018,1.02778027,0.437743191,0.887548638,0.775097276,0.662645914
79,1997,0.637793578,0.637793578,0.020454545,7,1.04630045,1.00926009,1.01852018,1.02778027,0.437743191,0.887548638,0.775097276,0.662645914
80,1997,0.637793578,0.637793578,0.020454545,8,1.04630045,1.00926009,1.01852018,1.02778027,0.437743191,0.887548638,0.775097276,0.662645914
81,1997,0.637793578,0.637793578,0.020454545,9,1.04630045,1.00926009,1.01852018,1.02778027,0.437743191,0.887548638,0.775097276,0.662645914
82,1997,0.637793578,0.637793578,0.020454545,10,1.04630045,1.00926009,1.01852018,1.02778027,0.437743191,0.887548638,0.775097276,0.662645914
83,1997,0.637793578,0.637793578,0.020454545,11,1.04630045,1.00926009,1.01852018,1.02778027,0.437743191,0.887548638,0.775097276,0.662645914
84,1997,0.637793578,0.637793578,0.020454545,12,1.04630045,1.00926009,1.01852018,1.02778027,0.437743191,0.887548638,0.775097276,0.662645914
85,1998,0.584090255,0.584090255,0.025777778,1,0.958200142,0.991640028,0.983280057,0.974920085,0.551664505,0.910332901,0.820665802,0.730998703
86,1998,0.584090255,0.584090255,0.025777778,2,0.958200142,0.991640028,0.983280057,0.974920085,0.551664505,0.910332901,0.820665802,0.730998703
87,1998,0.584090255,0.584090255,0.025777778,3,0.958200142,0.991640028,0.983280057,0.974920085,0.551664505,0.910332901,0.820665802,0.730998703
88,1998,0.584090255,0.584090255,0.025777778,4,0.958200142,0.991640028,0.983280057,0.974920085,0.551664505,0.910332901,0.820665802,0.730998703
89,1998,0.584090255,0.584090255,0.025777778,5,0.958200142,0.991640028,0.983280057,0.974920085,0.551664505,0.910332901,0.820665802,0.730998703
90,1998,0.584090255,0.584090255,0.025777778,6,0.958200142,0.991640028,0.983280057,0.974920085,0.551664505,0.910332901,0.820665802,0.730998703
91,1998,0.584090255,0.584090255,0.025777778,7,0.958200142,0.991640028,0.983280057,0.974920085,0.551664505,0.910332901,0.820665802,0.730998703
92,1998,0.584090255,0.584090255,0.025777778,8,0.958200142,0.991640028,0.983280057,0.974920085,0.551664505,0.910332901,0.820665802,0.730998703
93,1998,0.584090255,0.584090255,0.025777778,9,0.958200142,0.991640028,0.983280057,0.974920085,0.551664505,0.910332901,0.820665802,0.730998703
94,1998,0.584090255,0.584090255,0.025777778,10,0.958200142,0.991640028,0.983280057,0.974920085,0.551664505,0.910332901,0.820665802,0.730998703
95,1998,0.584090255,0.584090255,0.025777778,11,0.958200142,0.991640028,0.983280057,0.974920085,0.551664505,0.910332901,0.820665802,0.730998703
96,1998,0.584090255,0.584090255,0.025777778,12,0.958200142,0.991640028,0.983280057,0.974920085,0.551664505,0.910332901,0.820665802,0.730998703
97,1999,0.257036721,0.257036721,0.025181818,1,0.421668775,0.884333755,0.76866751,0.653001265,0.538910506,0.907782101,0.815564202,0.723346304
98,1999,0.257036721,0.257036721,0.025181818,2,0.421668775,0.884333755,0.76866751,0.653001265,0.538910506,0.907782101,0.815564202,0.723346304
99,1999,0.257036721,0.257036721,0.025181818,3,0.421668775,0.884333755,0.76866751,0.653001265,0.538910506,0.907782101,0.815564202,0.723346304
100,1999,0.257036721,0.257036721,0.025181818,4,0.421668775,0.884333755,0.76866751,0.653001265,0.538910506,0.907782101,0.815564202,0.723346304
101,1999,0.257036721,0.257036721,0.025181818,5,0.421668775,0.884333755,0.76866751,0.653001265,0.538910506,0.907782101,0.815564202,0.723346304
102,1999,0.257036721,0.257036721,0.025181818,6,0.421668775,0.884333755,0.76866751,0.653001265,0.538910506,0.907782101,0.815564202,0.723346304
103,1999,0.257036721,0.257036721,0.025181818,7,0.421668775,0.884333755,0.76866751,0.653001265,0.538910506,0.907782101,0.815564202,0.723346304
104,1999,0.257036721,0.257036721,0.025181818,8,0.421668775,0.884333755,0.76866751,0.653001265,0.538910506,0.907782101,0.815564202,0.723346304
105,1999,0.257036721,0.257036721,0.025181818,9,0.421668775,0.884333755,0.76866751,0.653001265,0.538910506,0.907782101,0.815564202,0.723346304
106,1999,0.257036721,0.257036721,0.025181818,10,0.421668775,0.884333755,0.76866751,0.653001265,0.538910506,0.907782101,0.815564202,0.723346304
107,1999,0.257036721,0.257036721,0.025181818,11,0.421668775,0.884333755,0.76866751,0.653001265,0.538910506,0.907782101,0.815564202,0.723346304
108,1999,0.257036721,0.257036721,0.025181818,12,0.421668775,0.884333755,0.76866751,0.653001265,0.538910506,0.907782101,0.815564202,0.723346304
109,2000,0.247040958,0.247040958,0.0245,1,0.405270725,0.881054145,0.76210829,0.643162435,0.524319066,0.904863813,0.809727626,0.71459144
110,2000,0.247040958,0.247040958,0.0245,2,0.405270725,0.881054145,0.76210829,0.643162435,0.524319066,0.904863813,0.809727626,0.71459144
111,2000,0.247040958,0.247040958,0.0245,3,0.405270725,0.881054145,0.76210829,0.643162435,0.524319066,0.904863813,0.809727626,0.71459144
112,2000,0.247040958,0.247040958,0.0245,4,0.405270725,0.881054145,0.76210829,0.643162435,0.524319066,0.904863813,0.809727626,0.71459144
113,2000,0.247040958,0.247040958,0.0245,5,0.405270725,0.881054145,0.76210829,0.643162435,0.524319066,0.904863813,0.809727626,0.71459144
114,2000,0.247040958,0.247040958,0.0245,6,0.405270725,0.881054145,0.76210829,0.643162435,0.524319066,0.904863813,0.809727626,0.71459144
115,2000,0.247040958,0.247040958,0.0245,7,0.405270725,0.881054145,0.76210829,0.643162435,0.524319066,0.904863813,0.809727626,0.71459144
116,2000,0.247040958,0.247040958,0.0245,8,0.405270725,0.881054145,0.76210829,0.643162435,0.524319066,0.904863813,0.809727626,0.71459144
117,2000,0.247040958,0.247040958,0.0245,9,0.405270725,0.881054145,0.76210829,0.643162435,0.524319066,0.904863813,0.809727626,0.71459144
