time,po4
1993-01-01T00:00:00.000Z,0.898563445
1993-02-01T00:00:00.000Z,0.904271841
1993-03-01T00:00:00.000Z,0.880634308
1993-04-01T00:00:00.000Z,0.730357647
1993-05-01T00:00:00.000Z,0.509756982
1993-06-01T00:00:00.000Z,0.395205855
1993-07-01T00:00:00.000Z,0.293619901
1993-08-01T00:00:00.000Z,0.277311027
1993-09-01T00:00:00.000Z,0.381806314
1993-10-01T00:00:00.000Z,0.550322175
1993-11-01T00:00:00.000Z,0.695104778
1993-12-01T00:00:00.000Z,0.79788816
1994-01-01T00:00:00.000Z,0.89013654
1994-02-01T00:00:00.000Z,0.905137479
1994-03-01T00:00:00.000Z,0.844273508
1994-04-01T00:00:00.000Z,0.644341409
1994-05-01T00:00:00.000Z,0.422034681
1994-06-01T00:00:00.000Z,0.287167996
1994-07-01T00:00:00.000Z,0.190697342
1994-08-01T00:00:00.000Z,0.225159734
1994-09-01T00:00:00.000Z,0.335454077
1994-10-01T00:00:00.000Z,0.475993067
1994-11-01T00:00:00.000Z,0.608820081
1994-12-01T00:00:00.000Z,0.713456333
1995-01-01T00:00:00.000Z,0.781874776
1995-02-01T00:00:00.000Z,0.817939758
1995-03-01T00:00:00.000Z,0.741520405
1995-04-01T00:00:00.000Z,0.570573151
1995-05-01T00:00:00.000Z,0.349710435
1995-06-01T00:00:00.000Z,0.290109009
1995-07-01T00:00:00.000Z,0.19283253
1995-08-01T00:00:00.000Z,0.200596705
1995-09-01T00:00:00.000Z,0.342401624
1995-10-01T00:00:00.000Z,0.492895663
1995-11-01T00:00:00.000Z,0.635280848
1995-12-01T00:00:00.000Z,0.73520267
1996-01-01T00:00:00.000Z,0.811496735
1996-02-01T00:00:00.000Z,0.850804567
1996-03-01T00:00:00.000Z,0.86742115
1996-04-01T00:00:00.000Z,0.732745171
1996-05-01T00:00:00.000Z,0.490874976
1996-06-01T00:00:00.000Z,0.314064652
1996-07-01T00:00:00.000Z,0.262588829
1996-08-01T00:00:00.000Z,0.256014884
1996-09-01T00:00:00.000Z,0.379710197
1996-10-01T00:00:00.000Z,0.533171594
1996-11-01T00:00:00.000Z,0.64993608
1996-12-01T00:00:00.000Z,0.764007747
1997-01-01T00:00:00.000Z,0.855477571
1997-02-01T00:00:00.000Z,0.874287367
1997-03-01T00:00:00.000Z,0.880563676
1997-04-01T00:00:00.000Z,0.708784699
1997-05-01T00:00:00.000Z,0.462811381
1997-06-01T00:00:00.000Z,0.303706229
1997-07-01T00:00:00.000Z,0.245127484
1997-08-01T00:00:00.000Z,0.231837675
1997-09-01T00:00:00.000Z,0.342004389
1997-10-01T00:00:00.000Z,0.644894838
1997-11-01T00:00:00.000Z,1.002306461
1997-12-01T00:00:00.000Z,1.101721168
1998-01-01T00:00:00.000Z,1.053210616
1998-02-01T00:00:00.000Z,1.063277483
1998-03-01T00:00:00.000Z,0.997286856
1998-04-01T00:00:00.000Z,0.844924927
1998-05-01T00:00:00.000Z,0.68482244
1998-06-01T00:00:00.000Z,0.507736027
1998-07-01T00:00:00.000Z,0.27493456
1998-08-01T00:00:00.000Z,0.17849642
1998-09-01T00:00:00.000Z,0.213610947
1998-10-01T00:00:00.000Z,0.302250594
1998-11-01T00:00:00.000Z,0.41806677
1998-12-01T00:00:00.000Z,0.470465422
1999-01-01T00:00:00.000Z,0.477546573
1999-02-01T00:00:00.000Z,0.482412785
1999-03-01T00:00:00.000Z,0.410820633
1999-04-01T00:00:00.000Z,0.19775708
1999-05-01T00:00:00.000Z,0.117236048
1999-06-01T00:00:00.000Z,0.135973021
1999-07-01T00:00:00.000Z,0.10786175
1999-08-01T00:00:00.000Z,0.116827101
1999-09-01T00:00:00.000Z,0.148555145
1999-10-01T00:00:00.000Z,0.22310403
1999-11-01T00:00:00.000Z,0.301975578
1999-12-01T00:00:00.000Z,0.364370912
2000-01-01T00:00:00.000Z,0.440806776
2000-02-01T00:00:00.000Z,0.443517178
2000-03-01T00:00:00.000Z,0.388185173
2000-04-01T00:00:00.000Z,0.262006223
2000-05-01T00:00:00.000Z,0.144624725
2000-06-01T00:00:00.000Z,0.108234003
2000-07-01T00:00:00.000Z,0.096141525
2000-08-01T00:00:00.000Z,0.093559377
2000-09-01T00:00:00.000Z,0.133164763
2000-10-01T00:00:00.000Z,0.209683016
2000-11-01T00:00:00.000Z,0.296029866
2000-12-01T00:00:00.000Z,0.348538876
2001-01-01T00:00:00.000Z,0.396025568
2001-02-01T00:00:00.000Z,0.408368826
2001-03-01T00:00:00.000Z,0.321017772
2001-04-01T00:00:00.000Z,0.169681802
2001-05-01T00:00:00.000Z,0.117933981
2001-06-01T00:00:00.000Z,0.173301175
2001-07-01T00:00:00.000Z,0.140832245
2001-08-01T00:00:00.000Z,0.135126948
2001-09-01T00:00:00.000Z,0.191904053
2001-10-01T00:00:00.000Z,0.271426171
2001-11-01T00:00:00.000Z,0.365040183
2001-12-01T00:00:00.000Z,0.430197299
2002-01-01T00:00:00.000Z,0.439434946
2002-02-01T00:00:00.000Z,0.409869313
2002-03-01T00:00:00.000Z,0.302670956
2002-04-01T00:00:00.000Z,0.142120749
2002-05-01T00:00:00.000Z,0.084076397
2002-06-01T00:00:00.000Z,0.066445976
2002-07-01T00:00:00.000Z,0.075666308
2002-08-01T00:00:00.000Z,0.130168974
2002-09-01T00:00:00.000Z,0.211897865
2002-10-01T00:00:00.000Z,0.321791649
2002-11-01T00:00:00.000Z,0.442060143
2002-12-01T00:00:00.000Z,0.475554258
2003-01-01T00:00:00.000Z,0.508027315
