ICES rectangle,country,annex,regulated area,regulated gear,specon,vessel length,year,Effective Effort,area,fishery,gear,quarter,mesh_size_range
40F4,ENG,IIA,3B2,BT1,CPART13B,O15M,2011,72,4,NONE,BEAM,1,>=120
41F4,ENG,IIA,3B2,BT1,CPART13B,O15M,2011,24,4,NONE,BEAM,1,>=120
37F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,24,4,NONE,BEAM,1,100-119
38F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,128,4,NONE,BEAM,1,100-119
38F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,48,4,NONE,BEAM,1,100-119
38F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,240,4,NONE,BEAM,1,100-119
39F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,60,4,NONE,BEAM,1,100-119
39F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,492,4,NONE,BEAM,1,100-119
39F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,568,4,NONE,BEAM,1,100-119
40F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,672,4,NONE,BEAM,1,100-119
40F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,300,4,NONE,BEAM,1,100-119
31F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,90,4,NONE,BEAM,1,80-89
32F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,642,4,NONE,BEAM,1,80-89
33F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,558,4,NONE,BEAM,1,80-89
33F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,48,4,NONE,BEAM,1,80-89
34F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,29,4,NONE,BEAM,1,80-89
34F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,437,4,NONE,BEAM,1,80-89
35F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,149,4,NONE,BEAM,1,80-89
35F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,48,4,NONE,BEAM,1,80-89
36F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,1437,4,NONE,BEAM,1,80-89
36F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,409,4,NONE,BEAM,1,80-89
36F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,96,4,NONE,BEAM,1,80-89
36F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,32,4,NONE,BEAM,1,80-89
37F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,157,4,NONE,BEAM,1,80-89
37F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,292,4,NONE,BEAM,1,80-89
37F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,666,4,NONE,BEAM,1,80-89
37F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,1630,4,NONE,BEAM,1,80-89
37F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,1525,4,NONE,BEAM,1,80-89
37F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,330,4,NONE,BEAM,1,80-89
38F0,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,24,4,NONE,BEAM,1,80-89
38F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,24,4,NONE,BEAM,1,80-89
38F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,24,4,NONE,BEAM,1,80-89
38F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,923,4,NONE,BEAM,1,80-89
38F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,367,4,NONE,BEAM,1,80-89
38F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,331,4,NONE,BEAM,1,80-89
39F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,48,4,NONE,BEAM,1,80-89
39F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,240,4,NONE,BEAM,1,80-89
40F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2011,114,4,NONE,BEAM,1,80-89
32F1,BEL,IIA,3B2,BT1,NONE,O15M,2011,13,4,NONE,BEAM,1,>=120
31F1,BEL,IIA,3B2,BEAM,NONE,O15M,2011,21,4,NONE,BEAM,1,16-31
31F2,BEL,IIA,3B2,BEAM,NONE,O15M,2011,1388,4,NONE,BEAM,1,16-31
31F3,BEL,IIA,3B2,BEAM,NONE,O15M,2011,310,4,NONE,BEAM,1,16-31
32F2,BEL,IIA,3B2,BEAM,NONE,O15M,2011,131,4,NONE,BEAM,1,16-31
31F1,BEL,IIA,3B2,BT2,NONE,O15M,2011,1229,4,NONE,BEAM,1,80-89
31F2,BEL,IIA,3B2,BT2,NONE,O15M,2011,2268,4,NONE,BEAM,1,80-89
31F3,BEL,IIA,3B2,BT2,NONE,O15M,2011,279,4,NONE,BEAM,1,80-89
32F1,BEL,IIA,3B2,BT2,NONE,O15M,2011,668,4,NONE,BEAM,1,80-89
32F2,BEL,IIA,3B2,BT2,NONE,O15M,2011,1483,4,NONE,BEAM,1,80-89
32F3,BEL,IIA,3B2,BT2,NONE,O15M,2011,6,4,NONE,BEAM,1,80-89
33F1,BEL,IIA,3B2,BT2,NONE,O15M,2011,80,4,NONE,BEAM,1,80-89
33F2,BEL,IIA,3B2,BT2,NONE,O15M,2011,1380,4,NONE,BEAM,1,80-89
33F4,BEL,IIA,3B2,BT2,NONE,O15M,2011,1,4,NONE,BEAM,1,80-89
34F2,BEL,IIA,3B2,BT2,NONE,O15M,2011,17,4,NONE,BEAM,1,80-89
