ICES rectangle,country,annex,regulated area,regulated gear,specon,vessel length,year,Effective Effort,area,fishery,gear,mesh_size_range,quarter
39F4,ENG,IIA,3B2,BT1,CPART13B,O15M,2012,108,4,NONE,BEAM,>=120,1
39F5,ENG,IIA,3B2,BT1,CPART13B,O15M,2012,36,4,NONE,BEAM,>=120,1
40F3,ENG,IIA,3B2,BT1,CPART13B,O15M,2012,36,4,NONE,BEAM,>=120,1
40F4,ENG,IIA,3B2,BT1,CPART13B,O15M,2012,144,4,NONE,BEAM,>=120,1
40F5,ENG,IIA,3B2,BT1,CPART13B,O15M,2012,72,4,NONE,BEAM,>=120,1
41F5,ENG,IIA,3B2,BT1,CPART13B,O15M,2012,108,4,NONE,BEAM,>=120,1
38F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,222,4,NONE,BEAM,100-119,1
38F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,30,4,NONE,BEAM,100-119,1
39F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,89,4,NONE,BEAM,100-119,1
39F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,1483,4,NONE,BEAM,100-119,1
39F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,1177,4,NONE,BEAM,100-119,1
40F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,242,4,NONE,BEAM,100-119,1
40F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,1063,4,NONE,BEAM,100-119,1
40F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,337,4,NONE,BEAM,100-119,1
32F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,570,4,NONE,BEAM,80-89,1
32F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,144,4,NONE,BEAM,80-89,1
33F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,102,4,NONE,BEAM,80-89,1
33F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,24,4,NONE,BEAM,80-89,1
34F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,130,4,NONE,BEAM,80-89,1
34F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,342,4,NONE,BEAM,80-89,1
35F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,132,4,NONE,BEAM,80-89,1
35F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,24,4,NONE,BEAM,80-89,1
36F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,69,4,NONE,BEAM,80-89,1
36F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,526,4,NONE,BEAM,80-89,1
36F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,430,4,NONE,BEAM,80-89,1
36F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,106,4,NONE,BEAM,80-89,1
37F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,58,4,NONE,BEAM,80-89,1
37F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,48,4,NONE,BEAM,80-89,1
37F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,333,4,NONE,BEAM,80-89,1
37F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,226,4,NONE,BEAM,80-89,1
37F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,448,4,NONE,BEAM,80-89,1
37F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,656,4,NONE,BEAM,80-89,1
37F7,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,24,4,NONE,BEAM,80-89,1
38E9,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,269,4,NONE,BEAM,80-89,1
38F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,60,4,NONE,BEAM,80-89,1
38F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,289,4,NONE,BEAM,80-89,1
38F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,1262,4,NONE,BEAM,80-89,1
38F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,714,4,NONE,BEAM,80-89,1
39F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,59,4,NONE,BEAM,80-89,1
39F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,374,4,NONE,BEAM,80-89,1
40F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,190,4,NONE,BEAM,80-89,1
40F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2012,158,4,NONE,BEAM,80-89,1
31F1,BEL,IIA,3B2,BEAM,NONE,O15M,2012,7,4,NONE,BEAM,16-31,1
31F2,BEL,IIA,3B2,BEAM,NONE,O15M,2012,1344,4,NONE,BEAM,16-31,1
31F3,BEL,IIA,3B2,BEAM,NONE,O15M,2012,520,4,NONE,BEAM,16-31,1
31F1,BEL,IIA,3B2,BT2,NONE,O15M,2012,2381,4,NONE,BEAM,80-89,1
31F2,BEL,IIA,3B2,BT2,NONE,O15M,2012,1761,4,NONE,BEAM,80-89,1
31F3,BEL,IIA,3B2,BT2,NONE,O15M,2012,84,4,NONE,BEAM,80-89,1
32F1,BEL,IIA,3B2,BT2,NONE,O15M,2012,824,4,NONE,BEAM,80-89,1
32F2,BEL,IIA,3B2,BT2,NONE,O15M,2012,1252,4,NONE,BEAM,80-89,1
32F3,BEL,IIA,3B2,BT2,NONE,O15M,2012,1,4,NONE,BEAM,80-89,1
33F1,BEL,IIA,3B2,BT2,NONE,O15M,2012,105,4,NONE,BEAM,80-89,1
33F2,BEL,IIA,3B2,BT2,NONE,O15M,2012,595,4,NONE,BEAM,80-89,1
34F3,BEL,IIA,3B2,BT2,NONE,O15M,2012,8,4,NONE,BEAM,80-89,1
36F2,BEL,IIA,3B2,BT2,NONE,O15M,2012,7,4,NONE,BEAM,80-89,1
36F3,BEL,IIA,3B2,BT2,NONE,O15M,2012,76,4,NONE,BEAM,80-89,1
37F1,BEL,IIA,3B2,BT2,NONE,O15M,2012,23,4,NONE,BEAM,80-89,1
37F2,BEL,IIA,3B2,BT2,NONE,O15M,2012,183,4,NONE,BEAM,80-89,1
36F6,DEU,IIA,3B2,BEAM,NONE,O15M,2012,76,4,NONE,BEAM,<16,1
36F6,DEU,IIA,3B2,BT2,NONE,O15M,2012,3,4,NONE,BEAM,100-119,1
38F3,DEU,IIA,3B2,BT2,NONE,O15M,2012,20,4,NONE,BEAM,100-119,1
39F3,DEU,IIA,3B2,BT2,NONE,O15M,2012,54,4,NONE,BEAM,100-119,1
39F4,DEU,IIA,3B2,BT2,NONE,O15M,2012,6,4,NONE,BEAM,100-119,1
40F4,DEU,IIA,3B2,BT2,NONE,O15M,2012,56,4,NONE,BEAM,100-119,1
40F5,DEU,IIA,3B2,BT2,NONE,O15M,2012,24,4,NONE,BEAM,100-119,1
35F4,DEU,IIA,3B2,BEAM,NONE,O15M,2012,54,4,NONE,BEAM,16-31,1
35F6,DEU,IIA,3B2,BEAM,NONE,O15M,2012,12,4,NONE,BEAM,16-31,1
36F5,DEU,IIA,3B2,BEAM,NONE,O15M,2012,152,4,NONE,BEAM,16-31,1
36F6,DEU,IIA,3B2,BEAM,NONE,O15M,2012,2968,4,NONE,BEAM,16-31,1
36F7,DEU,IIA,3B2,BEAM,NONE,O15M,2012,4533,4,NONE,BEAM,16-31,1
36F8,DEU,IIA,3B2,BEAM,NONE,O15M,2012,4336,4,NONE,BEAM,16-31,1
37F6,DEU,IIA,3B2,BEAM,NONE,O15M,2012,572,4,NONE,BEAM,16-31,1
37F7,DEU,IIA,3B2,BEAM,NONE,O15M,2012,5062,4,NONE,BEAM,16-31,1
37F8,DEU,IIA,3B2,BEAM,NONE,O15M,2012,11724,4,NONE,BEAM,16-31,1
38F6,DEU,IIA,3B2,BEAM,NONE,O15M,2012,36,4,NONE,BEAM,16-31,1
38F7,DEU,IIA,3B2,BEAM,NONE,O15M,2012,4127,4,NONE,BEAM,16-31,1
38F8,DEU,IIA,3B2,BEAM,NONE,O15M,2012,5828,4,NONE,BEAM,16-31,1
39F6,DEU,IIA,3B2,BEAM,NONE,O15M,2012,10,4,NONE,BEAM,16-31,1
39F7,DEU,IIA,3B2,BEAM,NONE,O15M,2012,44,4,NONE,BEAM,16-31,1
39F8,DEU,IIA,3B2,BEAM,NONE,O15M,2012,596,4,NONE,BEAM,16-31,1
33F3,DEU,IIA,3B2,BT2,NONE,O15M,2012,40,4,NONE,BEAM,80-89,1
34F3,DEU,IIA,3B2,BT2,NONE,O15M,2012,95,4,NONE,BEAM,80-89,1
34F4,DEU,IIA,3B2,BT2,NONE,O15M,2012,89,4,NONE,BEAM,80-89,1
35F3,DEU,IIA,3B2,BT2,NONE,O15M,2012,40,4,NONE,BEAM,80-89,1
35F4,DEU,IIA,3B2,BT2,NONE,O15M,2012,98,4,NONE,BEAM,80-89,1
36F2,DEU,IIA,3B2,BT2,NONE,O15M,2012,133,4,NONE,BEAM,80-89,1
36F3,DEU,IIA,3B2,BT2,NONE,O15M,2012,586,4,NONE,BEAM,80-89,1
36F4,DEU,IIA,3B2,BT2,NONE,O15M,2012,1276,4,NONE,BEAM,80-89,1
36F5,DEU,IIA,3B2,BT2,NONE,O15M,2012,2,4,NONE,BEAM,80-89,1
36F7,DEU,IIA,3B2,BT2,NONE,O15M,2012,1,4,NONE,BEAM,80-89,1
36F8,DEU,IIA,3B2,BT2,NONE,O15M,2012,16,4,NONE,BEAM,80-89,1
37F2,DEU,IIA,3B2,BT2,NONE,O15M,2012,115,4,NONE,BEAM,80-89,1
37F3,DEU,IIA,3B2,BT2,NONE,O15M,2012,99,4,NONE,BEAM,80-89,1
37F4,DEU,IIA,3B2,BT2,NONE,O15M,2012,783,4,NONE,BEAM,80-89,1
37F5,DEU,IIA,3B2,BT2,NONE,O15M,2012,525,4,NONE,BEAM,80-89,1
37F6,DEU,IIA,3B2,BT2,NONE,O15M,2012,90,4,NONE,BEAM,80-89,1
37F8,DEU,IIA,3B2,BT2,NONE,O15M,2012,14,4,NONE,BEAM,80-89,1
38F4,DEU,IIA,3B2,BT2,NONE,O15M,2012,162,4,NONE,BEAM,80-89,1
38F5,DEU,IIA,3B2,BT2,NONE,O15M,2012,528,4,NONE,BEAM,80-89,1
38F6,DEU,IIA,3B2,BT2,NONE,O15M,2012,141,4,NONE,BEAM,80-89,1
39F4,DEU,IIA,3B2,BT2,NONE,O15M,2012,20,4,NONE,BEAM,80-89,1
39F5,DEU,IIA,3B2,BT2,NONE,O15M,2012,48,4,NONE,BEAM,80-89,1
39F6,DEU,IIA,3B2,BT2,NONE,O15M,2012,70,4,NONE,BEAM,80-89,1
40F4,DEU,IIA,3B2,BT2,NONE,O15M,2012,36,4,NONE,BEAM,80-89,1
40F6,DEU,IIA,3B2,BT2,NONE,O15M,2012,20,4,NONE,BEAM,80-89,1
