ICES rectangle,country,annex,regulated area,regulated gear,specon,vessel length,year,Effective Effort,area,fishery,gear,mesh_size_range,quarter
32F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2009,120,4,NONE,BEAM,80-89,1
32F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2009,54,4,NONE,BEAM,80-89,1
33F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2009,212,4,NONE,BEAM,80-89,1
33F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2009,490,4,NONE,BEAM,80-89,1
36F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2009,30,4,NONE,BEAM,80-89,1
36F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2009,150,4,NONE,BEAM,80-89,1
31F2,BEL,IIA,3B2,BEAM,NONE,O15M,2009,266,4,NONE,BEAM,16-31,1
31F3,BEL,IIA,3B2,BEAM,NONE,O15M,2009,1187,4,NONE,BEAM,16-31,1
35F5,BEL,IIA,3B2,BEAM,NONE,O15M,2009,190,4,NONE,BEAM,16-31,1
36F5,BEL,IIA,3B2,BEAM,NONE,O15M,2009,160,4,NONE,BEAM,16-31,1
37F7,BEL,IIA,3B2,BEAM,NONE,O15M,2009,97,4,NONE,BEAM,16-31,1
38F7,BEL,IIA,3B2,BEAM,NONE,O15M,2009,373,4,NONE,BEAM,16-31,1
39F7,BEL,IIA,3B2,BEAM,NONE,O15M,2009,29,4,NONE,BEAM,16-31,1
40F7,BEL,IIA,3B2,BEAM,NONE,O15M,2009,17,4,NONE,BEAM,16-31,1
31F1,BEL,IIA,3B2,BT2,NONE,O15M,2009,3285,4,NONE,BEAM,80-89,1
31F2,BEL,IIA,3B2,BT2,NONE,O15M,2009,4500,4,NONE,BEAM,80-89,1
31F3,BEL,IIA,3B2,BT2,NONE,O15M,2009,193,4,NONE,BEAM,80-89,1
32F1,BEL,IIA,3B2,BT2,NONE,O15M,2009,3174,4,NONE,BEAM,80-89,1
32F2,BEL,IIA,3B2,BT2,NONE,O15M,2009,4209,4,NONE,BEAM,80-89,1
32F3,BEL,IIA,3B2,BT2,NONE,O15M,2009,20,4,NONE,BEAM,80-89,1
33F1,BEL,IIA,3B2,BT2,NONE,O15M,2009,566,4,NONE,BEAM,80-89,1
33F2,BEL,IIA,3B2,BT2,NONE,O15M,2009,7402,4,NONE,BEAM,80-89,1
34F1,BEL,IIA,3B2,BT2,NONE,O15M,2009,16,4,NONE,BEAM,80-89,1
34F2,BEL,IIA,3B2,BT2,NONE,O15M,2009,747,4,NONE,BEAM,80-89,1
34F3,BEL,IIA,3B2,BT2,NONE,O15M,2009,81,4,NONE,BEAM,80-89,1
35F1,BEL,IIA,3B2,BT2,NONE,O15M,2009,393,4,NONE,BEAM,80-89,1
35F2,BEL,IIA,3B2,BT2,NONE,O15M,2009,329,4,NONE,BEAM,80-89,1
37F0,BEL,IIA,3B2,BT2,NONE,O15M,2009,84,4,NONE,BEAM,80-89,1
38E9,BEL,IIA,3B2,BT2,NONE,O15M,2009,139,4,NONE,BEAM,80-89,1
38F2,BEL,IIA,3B2,BT2,NONE,O15M,2009,10,4,NONE,BEAM,80-89,1
