ICES rectangle,country,annex,regulated area,regulated gear,specon,vessel length,year,Effective Effort,area,fishery,gear,quarter,mesh_size_range
38F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,393,4,NONE,BEAM,1,80-89
39F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,77,4,NONE,BEAM,1,80-89
39F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,1216,4,NONE,BEAM,1,80-89
40F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,144,4,NONE,BEAM,1,80-89
40F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,27,4,NONE,BEAM,1,80-89
40F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,2133,4,NONE,BEAM,1,80-89
40F7,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,165,4,NONE,BEAM,1,80-89
31F2,BEL,IIA,3B2,BEAM,NONE,O15M,2015,2158,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
31F3,BEL,IIA,3B2,BEAM,NONE,O15M,2015,324,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
32F1,BEL,IIA,3B2,BEAM,NONE,O15M,2015,30,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
32F2,BEL,IIA,3B2,BEAM,NONE,O15M,2015,22,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
32F3,BEL,IIA,3B2,BEAM,NONE,O15M,2015,29,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
35F4,BEL,IIA,3B2,BEAM,NONE,O15M,2015,41,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
35F5,BEL,IIA,3B2,BEAM,NONE,O15M,2015,153,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
36F4,BEL,IIA,3B2,BEAM,NONE,O15M,2015,15,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
36F5,BEL,IIA,3B2,BEAM,NONE,O15M,2015,138,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
38F2,BEL,IIA,3B2,BEAM,NONE,O15M,2015,52,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
38F7,BEL,IIA,3B2,BEAM,NONE,O15M,2015,63,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
31F1,BEL,IIA,3B2,BT2,NONE,O15M,2015,938,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
31F2,BEL,IIA,3B2,BT2,NONE,O15M,2015,2184,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
31F3,BEL,IIA,3B2,BT2,NONE,O15M,2015,66,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
32F1,BEL,IIA,3B2,BT2,NONE,O15M,2015,456,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
32F2,BEL,IIA,3B2,BT2,NONE,O15M,2015,1753,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
33F1,BEL,IIA,3B2,BT2,NONE,O15M,2015,43,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
33F2,BEL,IIA,3B2,BT2,NONE,O15M,2015,600,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
33F4,BEL,IIA,3B2,BT2,NONE,O15M,2015,3,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
35F4,BEL,IIA,3B2,BT2,NONE,O15M,2015,27,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
37F2,BEL,IIA,3B2,BT2,NONE,O15M,2015,4,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
37F5,BEL,IIA,3B2,BT2,NONE,O15M,2015,88,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
38E9,BEL,IIA,3B2,BT2,NONE,O15M,2015,378,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
38F0,BEL,IIA,3B2,BT2,NONE,O15M,2015,27,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
38F6,BEL,IIA,3B2,BT2,NONE,O15M,2015,56,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
40F6,BEL,IIA,3B2,BT2,NONE,O15M,2015,82,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
40F5,DEU,IIA,3B2,BT1,NONE,O15M,2015,11,4,NONE,BEAM,1,>=120
41F5,DEU,IIA,3B2,BT1,NONE,O15M,2015,33,4,NONE,BEAM,1,>=120
40F4,DEU,IIA,3B2,BT2,NONE,O15M,2015,122,4,NONE,BEAM,1,100-119
40F5,DEU,IIA,3B2,BT2,NONE,O15M,2015,41,4,NONE,BEAM,1,100-119
35F6,DEU,IIA,3B2,BEAM,NONE,O15M,2015,30,4,NONE,BEAM,1,16-31
35F8,DEU,IIA,3B2,BEAM,NONE,O15M,2015,89,4,NONE,BEAM,1,16-31
36F5,DEU,IIA,3B2,BEAM,NONE,O15M,2015,173,4,NONE,BEAM,1,16-31
36F6,DEU,IIA,3B2,BEAM,NONE,O15M,2015,2554,4,NONE,BEAM,1,16-31
36F7,DEU,IIA,3B2,BEAM,NONE,O15M,2015,3128,4,NONE,BEAM,1,16-31
36F8,DEU,IIA,3B2,BEAM,NONE,O15M,2015,2901,4,NONE,BEAM,1,16-31
37F5,DEU,IIA,3B2,BEAM,NONE,O15M,2015,29,4,NONE,BEAM,1,16-31
37F7,DEU,IIA,3B2,BEAM,NONE,O15M,2015,712,4,NONE,BEAM,1,16-31
37F8,DEU,IIA,3B2,BEAM,NONE,O15M,2015,5057,4,NONE,BEAM,1,16-31
38F6,DEU,IIA,3B2,BEAM,NONE,O15M,2015,23,4,NONE,BEAM,1,16-31
38F7,DEU,IIA,3B2,BEAM,NONE,O15M,2015,2431,4,NONE,BEAM,1,16-31
38F8,DEU,IIA,3B2,BEAM,NONE,O15M,2015,4273,4,NONE,BEAM,1,16-31
39F7,DEU,IIA,3B2,BEAM,NONE,O15M,2015,1237,4,NONE,BEAM,1,16-31
39F8,DEU,IIA,3B2,BEAM,NONE,O15M,2015,1592,4,NONE,BEAM,1,16-31
40F7,DEU,IIA,3B2,BEAM,NONE,O15M,2015,73,4,NONE,BEAM,1,16-31
42F7,DEU,IIA,3B2,BEAM,NONE,O15M,2015,24,4,NONE,BEAM,1,16-31
32F2,DEU,IIA,3B2,BT2,NONE,O15M,2015,90,4,NONE,BEAM,1,80-89
32F3,DEU,IIA,3B2,BT2,NONE,O15M,2015,228,4,NONE,BEAM,1,80-89
33F3,DEU,IIA,3B2,BT2,NONE,O15M,2015,171,4,NONE,BEAM,1,80-89
33F4,DEU,IIA,3B2,BT2,NONE,O15M,2015,110,4,NONE,BEAM,1,80-89
34F2,DEU,IIA,3B2,BT2,NONE,O15M,2015,48,4,NONE,BEAM,1,80-89
34F3,DEU,IIA,3B2,BT2,NONE,O15M,2015,123,4,NONE,BEAM,1,80-89
34F4,DEU,IIA,3B2,BT2,NONE,O15M,2015,165,4,NONE,BEAM,1,80-89
35F2,DEU,IIA,3B2,BT2,NONE,O15M,2015,72,4,NONE,BEAM,1,80-89
35F3,DEU,IIA,3B2,BT2,NONE,O15M,2015,247,4,NONE,BEAM,1,80-89
35F4,DEU,IIA,3B2,BT2,NONE,O15M,2015,156,4,NONE,BEAM,1,80-89
36F2,DEU,IIA,3B2,BT2,NONE,O15M,2015,21,4,NONE,BEAM,1,80-89
36F3,DEU,IIA,3B2,BT2,NONE,O15M,2015,112,4,NONE,BEAM,1,80-89
36F4,DEU,IIA,3B2,BT2,NONE,O15M,2015,486,4,NONE,BEAM,1,80-89
36F5,DEU,IIA,3B2,BT2,NONE,O15M,2015,22,4,NONE,BEAM,1,80-89
37F3,DEU,IIA,3B2,BT2,NONE,O15M,2015,20,4,NONE,BEAM,1,80-89
37F4,DEU,IIA,3B2,BT2,NONE,O15M,2015,286,4,NONE,BEAM,1,80-89
37F5,DEU,IIA,3B2,BT2,NONE,O15M,2015,943,4,NONE,BEAM,1,80-89
37F6,DEU,IIA,3B2,BT2,NONE,O15M,2015,26,4,NONE,BEAM,1,80-89
38F4,DEU,IIA,3B2,BT2,NONE,O15M,2015,48,4,NONE,BEAM,1,80-89
38F5,DEU,IIA,3B2,BT2,NONE,O15M,2015,377,4,NONE,BEAM,1,80-89
38F6,DEU,IIA,3B2,BT2,NONE,O15M,2015,296,4,NONE,BEAM,1,80-89
39F5,DEU,IIA,3B2,BT2,NONE,O15M,2015,56,4,NONE,BEAM,1,80-89
39F6,DEU,IIA,3B2,BT2,NONE,O15M,2015,349,4,NONE,BEAM,1,80-89
40F5,DEU,IIA,3B2,BT2,NONE,O15M,2015,24,4,NONE,BEAM,1,80-89
40F6,DEU,IIA,3B2,BT2,NONE,O15M,2015,1417,4,NONE,BEAM,1,80-89
40F7,DEU,IIA,3B2,BT2,NONE,O15M,2015,90,4,NONE,BEAM,1,80-89
41F8,DEU,IIA,3B2,BT2,NONE,O15M,2015,24,4,NONE,BEAM,1,80-89
40F6,DNK,IIA,3B2,BT1,NONE,O15M,2015,24,4,TBB_DEF_>=120_0_0,BEAM,1,>=120
41F5,DNK,IIA,3B2,BT1,NONE,O15M,2015,12,4,TBB_DEF_>=120_0_0,BEAM,1,>=120
42F5,DNK,IIA,3B2,BT1,NONE,O15M,2015,8,4,TBB_DEF_>=120_0_0,BEAM,1,>=120
42F6,DNK,IIA,3B2,BT1,NONE,O15M,2015,74,4,TBB_DEF_>=120_0_0,BEAM,1,>=120
43F4,DNK,IIA,3B2,BT1,NONE,O15M,2015,106,4,TBB_DEF_>=120_0_0,BEAM,1,>=120
43F5,DNK,IIA,3B2,BT1,NONE,O15M,2015,118,4,TBB_DEF_>=120_0_0,BEAM,1,>=120
43F6,DNK,IIA,3B2,BT1,NONE,O15M,2015,142,4,TBB_DEF_>=120_0_0,BEAM,1,>=120
43F7,DNK,IIA,3B2,BT1,NONE,O15M,2015,241,4,TBB_DEF_>=120_0_0,BEAM,1,>=120
43F8,DNK,IIA,3B2,BT1,NONE,O15M,2015,162,4,TBB_DEF_>=120_0_0,BEAM,1,>=120
44F5,DNK,IIA,3B2,BT1,NONE,O15M,2015,23,4,TBB_DEF_>=120_0_0,BEAM,1,>=120
38F8,DNK,IIA,3B2,BEAM,NONE,O15M,2015,24,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
39F7,DNK,IIA,3B2,BEAM,NONE,O15M,2015,1657,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
39F8,DNK,IIA,3B2,BEAM,NONE,O15M,2015,8707,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
40F0,DNK,IIA,3B2,BEAM,NONE,O15M,2015,24,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
40F7,DNK,IIA,3B2,BEAM,NONE,O15M,2015,4736,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
40F8,DNK,IIA,3B2,BEAM,NONE,O15M,2015,1951,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
41F7,DNK,IIA,3B2,BEAM,NONE,O15M,2015,48,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
41F8,DNK,IIA,3B2,BEAM,NONE,O15M,2015,349,4,TBB_CRU_16-31_0_0,BEAM,1,16-31
34F0,ENG,IIA,3B2,BEAM,NONE,O15M,2015,906,4,NONE,BEAM,1,16-31
35F0,ENG,IIA,3B2,BEAM,NONE,O15M,2015,294,4,NONE,BEAM,1,16-31
31F1,FRA,IIA,3B2,BT2,NONE,O15M,2015,7,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
31F2,FRA,IIA,3B2,BT2,NONE,O15M,2015,340,4,TBB_DEF_80-89_0_0,BEAM,1,80-89
35F4,NLD,IIA,3B2,BEAM,NONE,O15M,2015,297,4,NONE,BEAM,1,<16
35F5,NLD,IIA,3B2,BEAM,NONE,O15M,2015,22,4,NONE,BEAM,1,<16
35F6,NLD,IIA,3B2,BEAM,NONE,O15M,2015,16,4,NONE,BEAM,1,<16
36F5,NLD,IIA,3B2,BEAM,NONE,O15M,2015,10,4,NONE,BEAM,1,<16
36F6,NLD,IIA,3B2,BEAM,NONE,O15M,2015,41,4,NONE,BEAM,1,<16
39F4,NLD,IIA,3B2,BT1,NONE,O15M,2015,23,4,NONE,BEAM,1,>=120
39F5,NLD,IIA,3B2,BT1,NONE,O15M,2015,13,4,NONE,BEAM,1,>=120
40F4,NLD,IIA,3B2,BT1,NONE,O15M,2015,245,4,NONE,BEAM,1,>=120
40F5,NLD,IIA,3B2,BT1,NONE,O15M,2015,23,4,NONE,BEAM,1,>=120
41F4,NLD,IIA,3B2,BT1,NONE,O15M,2015,12,4,NONE,BEAM,1,>=120
41F5,NLD,IIA,3B2,BT1,NONE,O15M,2015,22,4,NONE,BEAM,1,>=120
32F3,NLD,IIA,3B2,BT2,NONE,O15M,2015,133,4,NONE,BEAM,1,100-119
36F4,NLD,IIA,3B2,BT2,NONE,O15M,2015,1,4,NONE,BEAM,1,100-119
38F4,NLD,IIA,3B2,BT2,NONE,O15M,2015,107,4,NONE,BEAM,1,100-119
39F3,NLD,IIA,3B2,BT2,NONE,O15M,2015,111,4,NONE,BEAM,1,100-119
39F4,NLD,IIA,3B2,BT2,NONE,O15M,2015,72,4,NONE,BEAM,1,100-119
40F4,NLD,IIA,3B2,BT2,NONE,O15M,2015,149,4,NONE,BEAM,1,100-119
40F5,NLD,IIA,3B2,BT2,NONE,O15M,2015,7,4,NONE,BEAM,1,100-119
31F3,NLD,IIA,3B2,BEAM,NONE,O15M,2015,81,4,NONE,BEAM,1,16-31
32F2,NLD,IIA,3B2,BEAM,NONE,O15M,2015,487,4,NONE,BEAM,1,16-31
32F3,NLD,IIA,3B2,BEAM,NONE,O15M,2015,1472,4,NONE,BEAM,1,16-31
33F3,NLD,IIA,3B2,BEAM,NONE,O15M,2015,97,4,NONE,BEAM,1,16-31
33F4,NLD,IIA,3B2,BEAM,NONE,O15M,2015,510,4,NONE,BEAM,1,16-31
34F4,NLD,IIA,3B2,BEAM,NONE,O15M,2015,2335,4,NONE,BEAM,1,16-31
34F5,NLD,IIA,3B2,BEAM,NONE,O15M,2015,449,4,NONE,BEAM,1,16-31
35F3,NLD,IIA,3B2,BEAM,NONE,O15M,2015,3,4,NONE,BEAM,1,16-31
35F4,NLD,IIA,3B2,BEAM,NONE,O15M,2015,3443,4,NONE,BEAM,1,16-31
35F5,NLD,IIA,3B2,BEAM,NONE,O15M,2015,9354,4,NONE,BEAM,1,16-31
35F6,NLD,IIA,3B2,BEAM,NONE,O15M,2015,940,4,NONE,BEAM,1,16-31
35F7,NLD,IIA,3B2,BEAM,NONE,O15M,2015,24,4,NONE,BEAM,1,16-31
36F4,NLD,IIA,3B2,BEAM,NONE,O15M,2015,22,4,NONE,BEAM,1,16-31
36F5,NLD,IIA,3B2,BEAM,NONE,O15M,2015,2344,4,NONE,BEAM,1,16-31
36F6,NLD,IIA,3B2,BEAM,NONE,O15M,2015,4352,4,NONE,BEAM,1,16-31
36F7,NLD,IIA,3B2,BEAM,NONE,O15M,2015,278,4,NONE,BEAM,1,16-31
36F8,NLD,IIA,3B2,BEAM,NONE,O15M,2015,35,4,NONE,BEAM,1,16-31
37C4,NLD,IIA,3B2,BEAM,NONE,O15M,2015,12,4,NONE,BEAM,1,16-31
37F5,NLD,IIA,3B2,BEAM,NONE,O15M,2015,6,4,NONE,BEAM,1,16-31
37F6,NLD,IIA,3B2,BEAM,NONE,O15M,2015,20,4,NONE,BEAM,1,16-31
37F7,NLD,IIA,3B2,BEAM,NONE,O15M,2015,3041,4,NONE,BEAM,1,16-31
37F8,NLD,IIA,3B2,BEAM,NONE,O15M,2015,1227,4,NONE,BEAM,1,16-31
38F7,NLD,IIA,3B2,BEAM,NONE,O15M,2015,5325,4,NONE,BEAM,1,16-31
38F8,NLD,IIA,3B2,BEAM,NONE,O15M,2015,1546,4,NONE,BEAM,1,16-31
39F6,NLD,IIA,3B2,BEAM,NONE,O15M,2015,11,4,NONE,BEAM,1,16-31
39F7,NLD,IIA,3B2,BEAM,NONE,O15M,2015,2808,4,NONE,BEAM,1,16-31
39F8,NLD,IIA,3B2,BEAM,NONE,O15M,2015,847,4,NONE,BEAM,1,16-31
40F2,NLD,IIA,3B2,BEAM,NONE,O15M,2015,9,4,NONE,BEAM,1,16-31
40F7,NLD,IIA,3B2,BEAM,NONE,O15M,2015,1003,4,NONE,BEAM,1,16-31
40F8,NLD,IIA,3B2,BEAM,NONE,O15M,2015,14,4,NONE,BEAM,1,16-31
45F6,NLD,IIA,3B2,BEAM,NONE,O15M,2015,7,4,NONE,BEAM,1,16-31
53F4,NLD,IIA,3B2,BEAM,NONE,O15M,2015,7,4,NONE,BEAM,1,16-31
31F1,NLD,IIA,3B2,BT2,NONE,O15M,2015,210,4,NONE,BEAM,1,80-89
31F2,NLD,IIA,3B2,BT2,NONE,O15M,2015,4228,4,NONE,BEAM,1,80-89
31F3,NLD,IIA,3B2,BT2,NONE,O15M,2015,272,4,NONE,BEAM,1,80-89
32F1,NLD,IIA,3B2,BT2,NONE,O15M,2015,620,4,NONE,BEAM,1,80-89
32F2,NLD,IIA,3B2,BT2,NONE,O15M,2015,8692,4,NONE,BEAM,1,80-89
32F3,NLD,IIA,3B2,BT2,NONE,O15M,2015,2323,4,NONE,BEAM,1,80-89
33F1,NLD,IIA,3B2,BT2,NONE,O15M,2015,32,4,NONE,BEAM,1,80-89
33F2,NLD,IIA,3B2,BT2,NONE,O15M,2015,3052,4,NONE,BEAM,1,80-89
33F3,NLD,IIA,3B2,BT2,NONE,O15M,2015,5505,4,NONE,BEAM,1,80-89
33F4,NLD,IIA,3B2,BT2,NONE,O15M,2015,353,4,NONE,BEAM,1,80-89
34F2,NLD,IIA,3B2,BT2,NONE,O15M,2015,1452,4,NONE,BEAM,1,80-89
34F3,NLD,IIA,3B2,BT2,NONE,O15M,2015,2614,4,NONE,BEAM,1,80-89
34F4,NLD,IIA,3B2,BT2,NONE,O15M,2015,563,4,NONE,BEAM,1,80-89
35F1,NLD,IIA,3B2,BT2,NONE,O15M,2015,228,4,NONE,BEAM,1,80-89
35F2,NLD,IIA,3B2,BT2,NONE,O15M,2015,943,4,NONE,BEAM,1,80-89
35F3,NLD,IIA,3B2,BT2,NONE,O15M,2015,1094,4,NONE,BEAM,1,80-89
35F4,NLD,IIA,3B2,BT2,NONE,O15M,2015,296,4,NONE,BEAM,1,80-89
36F1,NLD,IIA,3B2,BT2,NONE,O15M,2015,210,4,NONE,BEAM,1,80-89
36F2,NLD,IIA,3B2,BT2,NONE,O15M,2015,554,4,NONE,BEAM,1,80-89
36F3,NLD,IIA,3B2,BT2,NONE,O15M,2015,1527,4,NONE,BEAM,1,80-89
36F4,NLD,IIA,3B2,BT2,NONE,O15M,2015,841,4,NONE,BEAM,1,80-89
36F5,NLD,IIA,3B2,BT2,NONE,O15M,2015,66,4,NONE,BEAM,1,80-89
37F1,NLD,IIA,3B2,BT2,NONE,O15M,2015,88,4,NONE,BEAM,1,80-89
37F2,NLD,IIA,3B2,BT2,NONE,O15M,2015,44,4,NONE,BEAM,1,80-89
37F3,NLD,IIA,3B2,BT2,NONE,O15M,2015,213,4,NONE,BEAM,1,80-89
37F4,NLD,IIA,3B2,BT2,NONE,O15M,2015,585,4,NONE,BEAM,1,80-89
37F5,NLD,IIA,3B2,BT2,NONE,O15M,2015,1333,4,NONE,BEAM,1,80-89
37F6,NLD,IIA,3B2,BT2,NONE,O15M,2015,302,4,NONE,BEAM,1,80-89
37F7,NLD,IIA,3B2,BT2,NONE,O15M,2015,22,4,NONE,BEAM,1,80-89
38F2,NLD,IIA,3B2,BT2,NONE,O15M,2015,18,4,NONE,BEAM,1,80-89
38F4,NLD,IIA,3B2,BT2,NONE,O15M,2015,59,4,NONE,BEAM,1,80-89
38F5,NLD,IIA,3B2,BT2,NONE,O15M,2015,989,4,NONE,BEAM,1,80-89
38F6,NLD,IIA,3B2,BT2,NONE,O15M,2015,638,4,NONE,BEAM,1,80-89
38F7,NLD,IIA,3B2,BT2,NONE,O15M,2015,111,4,NONE,BEAM,1,80-89
39F5,NLD,IIA,3B2,BT2,NONE,O15M,2015,20,4,NONE,BEAM,1,80-89
39F6,NLD,IIA,3B2,BT2,NONE,O15M,2015,563,4,NONE,BEAM,1,80-89
40F4,NLD,IIA,3B2,BT2,NONE,O15M,2015,44,4,NONE,BEAM,1,80-89
40F5,NLD,IIA,3B2,BT2,NONE,O15M,2015,96,4,NONE,BEAM,1,80-89
40F6,NLD,IIA,3B2,BT2,NONE,O15M,2015,2891,4,NONE,BEAM,1,80-89
40F7,NLD,IIA,3B2,BT2,NONE,O15M,2015,149,4,NONE,BEAM,1,80-89
41F6,NLD,IIA,3B2,BT2,NONE,O15M,2015,12,4,NONE,BEAM,1,80-89
35F3,SCO,IIA,3B2,BT2,NONE,O15M,2015,36,4,NONE,BEAM,1,80-89
36F2,SCO,IIA,3B2,BT2,NONE,O15M,2015,148,4,NONE,BEAM,1,80-89
36F3,SCO,IIA,3B2,BT2,NONE,O15M,2015,32,4,NONE,BEAM,1,80-89
36F4,SCO,IIA,3B2,BT2,NONE,O15M,2015,24,4,NONE,BEAM,1,80-89
37F4,SCO,IIA,3B2,BT2,NONE,O15M,2015,24,4,NONE,BEAM,1,80-89
37F5,SCO,IIA,3B2,BT2,NONE,O15M,2015,100,4,NONE,BEAM,1,80-89
38F4,SCO,IIA,3B2,BT2,NONE,O15M,2015,60,4,NONE,BEAM,1,80-89
38F5,SCO,IIA,3B2,BT2,NONE,O15M,2015,172,4,NONE,BEAM,1,80-89
38F6,SCO,IIA,3B2,BT2,NONE,O15M,2015,20,4,NONE,BEAM,1,80-89
39F6,SCO,IIA,3B2,BT2,NONE,O15M,2015,102,4,NONE,BEAM,1,80-89
40F6,SCO,IIA,3B2,BT2,NONE,O15M,2015,331,4,NONE,BEAM,1,80-89
40F7,SCO,IIA,3B2,BT2,NONE,O15M,2015,245,4,NONE,BEAM,1,80-89
43F7,DNK,IIA,3B2,LL1,NONE,U10M,2015,12,4,LLS_DEF_0_0_0,LONGLINE,1,NONE
43F8,DNK,IIA,3B2,LL1,NONE,U10M,2015,213,4,LLS_DEF_0_0_0,LONGLINE,1,NONE
31F1,ENG,IIA,3B2,LL1,NONE,U10M,2015,24,4,NONE,LONGLINE,1,NONE
32F1,ENG,IIA,3B2,LL1,NONE,U10M,2015,264,4,NONE,LONGLINE,1,NONE
33F1,ENG,IIA,3B2,LL1,NONE,U10M,2015,2460,4,NONE,LONGLINE,1,NONE
33F2,ENG,IIA,3B2,LL1,NONE,U10M,2015,72,4,NONE,LONGLINE,1,NONE
34F1,ENG,IIA,3B2,LL1,NONE,U10M,2015,432,4,NONE,LONGLINE,1,NONE
34F2,ENG,IIA,3B2,LL1,NONE,U10M,2015,264,4,NONE,LONGLINE,1,NONE
35F0,ENG,IIA,3B2,LL1,NONE,U10M,2015,288,4,NONE,LONGLINE,1,NONE
36F0,ENG,IIA,3B2,LL1,NONE,U10M,2015,1092,4,NONE,LONGLINE,1,NONE
37E9,ENG,IIA,3B2,LL1,NONE,U10M,2015,144,4,NONE,LONGLINE,1,NONE
38E9,ENG,IIA,3B2,LL1,NONE,U10M,2015,72,4,NONE,LONGLINE,1,NONE
39E8,ENG,IIA,3B2,LL1,NONE,U10M,2015,168,4,NONE,LONGLINE,1,NONE
44E8,SCO,IIA,3B2,LL1,NONE,U10M,2015,216,4,NONE,LONGLINE,1,NONE
49E8,SCO,IIA,3B2,LL1,NONE,U10M,2015,756,4,NONE,LONGLINE,1,NONE
38E8,ENG,IIA,3B2,TR1,CPART13C,O15M,2015,24,4,NONE,OTTER,1,>=120
38E8,ENG,IIA,3B2,TR2,CPART13C,O15M,2015,1212,4,NONE,OTTER,1,80-89
38E9,ENG,IIA,3B2,TR2,CPART13C,O15M,2015,312,4,NONE,OTTER,1,80-89
38F1,ENG,IIA,3B2,TR2,CPART13C,O15M,2015,12,4,NONE,OTTER,1,80-89
39E8,ENG,IIA,3B2,TR2,CPART13C,O15M,2015,2400,4,NONE,OTTER,1,80-89
39E9,ENG,IIA,3B2,TR2,CPART13C,O15M,2015,72,4,NONE,OTTER,1,80-89
39F1,ENG,IIA,3B2,TR2,CPART13C,O15M,2015,24,4,NONE,OTTER,1,80-89
45E8,NIR,IIA,3B2,TR1,CPART13C,O15M,2015,96,4,NONE,OTTER,1,>=120
38E8,NIR,IIA,3B2,TR1,CPART13C,O15M,2015,36,4,NONE,OTTER,1,100-119
39E8,NIR,IIA,3B2,TR1,CPART13C,O15M,2015,708,4,NONE,OTTER,1,100-119
34F0,ENG,IIA,3B2,BEAM,NONE,U10M,2015,192,4,NONE,BEAM,1,16-31
32F3,NLD,IIA,3B2,BEAM,NONE,U10M,2015,24,4,NONE,BEAM,1,<16
45E7,ENG,IIA,3B2,TR1,CPART13B,O15M,2015,24,4,NONE,DEM_SEINE,1,>=120
31F1,ENG,IIA,3B2,TR2,CPART13B,O15M,2015,48,4,NONE,DEM_SEINE,1,80-89
43E8,SCO,IIA,3B2,TR1,CPART13C,O15M,2015,6,4,NONE,DEM_SEINE,1,>=120
43E9,SCO,IIA,3B2,TR1,CPART13C,O15M,2015,36,4,NONE,DEM_SEINE,1,>=120
