ICES rectangle,country,annex,regulated area,regulated gear,specon,vessel length,year,Effective Effort,area,fishery,gear,quarter,mesh_size_range
39F4,ENG,IIA,3B2,BT1,CPART13B,O15M,2015,36,4,NONE,BEAM,1,>=120
40F4,ENG,IIA,3B2,BT1,CPART13B,O15M,2015,108,4,NONE,BEAM,1,>=120
39F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,376,4,NONE,BEAM,1,100-119
40F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,2002,4,NONE,BEAM,1,100-119
40F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,211,4,NONE,BEAM,1,100-119
40F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,24,4,NONE,BEAM,1,100-119
31F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,70,4,NONE,BEAM,1,80-89
31F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,105,4,NONE,BEAM,1,80-89
32F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,242,4,NONE,BEAM,1,80-89
32F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,453,4,NONE,BEAM,1,80-89
32F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,30,4,NONE,BEAM,1,80-89
33F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,142,4,NONE,BEAM,1,80-89
33F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,30,4,NONE,BEAM,1,80-89
34F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,90,4,NONE,BEAM,1,80-89
34F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,98,4,NONE,BEAM,1,80-89
35F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,80,4,NONE,BEAM,1,80-89
36F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,24,4,NONE,BEAM,1,80-89
36F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,173,4,NONE,BEAM,1,80-89
37F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,40,4,NONE,BEAM,1,80-89
37F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,269,4,NONE,BEAM,1,80-89
37F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,738,4,NONE,BEAM,1,80-89
37F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,76,4,NONE,BEAM,1,80-89
38F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,245,4,NONE,BEAM,1,80-89
38F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2015,1476,4,NONE,BEAM,1,80-89
