ICES rectangle,country,annex,regulated area,regulated gear,specon,vessel length,year,Effective Effort,area,fishery,gear,mesh_size_range,quarter
40F4,ENG,IIA,3B2,BT1,CPART13B,O15M,2016,24,4,NONE,BEAM,>=120,1
40F5,ENG,IIA,3B2,BT1,CPART13B,O15M,2016,24,4,NONE,BEAM,>=120,1
38F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,24,4,NONE,BEAM,100-119,1
38F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,29,4,NONE,BEAM,100-119,1
38F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,24,4,NONE,BEAM,100-119,1
39F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,372,4,NONE,BEAM,100-119,1
39F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,563,4,NONE,BEAM,100-119,1
40F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,120,4,NONE,BEAM,100-119,1
40F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,1210,4,NONE,BEAM,100-119,1
40F5,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,354,4,NONE,BEAM,100-119,1
40F6,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,96,4,NONE,BEAM,100-119,1
31F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,60,4,NONE,BEAM,80-89,1
31F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,102,4,NONE,BEAM,80-89,1
32F1,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,502,4,NONE,BEAM,80-89,1
32F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,1086,4,NONE,BEAM,80-89,1
32F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,162,4,NONE,BEAM,80-89,1
33F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,308,4,NONE,BEAM,80-89,1
33F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,237,4,NONE,BEAM,80-89,1
33F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,24,4,NONE,BEAM,80-89,1
34F2,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,249,4,NONE,BEAM,80-89,1
34F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,106,4,NONE,BEAM,80-89,1
34F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,11,4,NONE,BEAM,80-89,1
35F3,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,192,4,NONE,BEAM,80-89,1
35F4,ENG,IIA,3B2,BT2,CPART13B,O15M,2016,41,4,NONE,BEAM,80-89,1
