EwEVersion,"6.6.8.18072 (compiled 04/11/2022)"
Date,"04/03/2024 13:31:46"
ModelName,EMBENS_SP_DL
EcosimScenario,EMBENS_DL_test_1
TimeSeries,time_series_1991-2021_raja_incl_1991_2018
StartYear,1991

Timestep,"biomass (predicted) Cod.adult_B_rel","biomass (observed) Cod.adult_B_rel","biomass (predicted) Herring.adult_B_rel","biomass (observed) Herring.adult_B_rel","biomass (predicted) Whiting.adult_B_rel","biomass (observed) Whiting.adult_B_rel","biomass (predicted) Mackerel_B_rel","biomass (observed) Mackerel_B_rel","biomass (predicted) Sprat_B_rel","biomass (observed) Sprat_B_rel","biomass (predicted) Plaice.adult_B_rel","biomass (observed) Plaice.adult_B_rel","biomass (predicted) Sole.adult_B_rel","biomass (observed) Sole.adult_B_rel","biomass (predicted) OtherFlatfish_B_rel","biomass (observed) OtherFlatfish_B_rel","biomass (predicted) Dab_B_rel","biomass (observed) Dab_B_rel","biomass (predicted) Rays_B_rel","biomass (observed) Rays_B_rel","biomass (predicted) Sharks_B_rel","biomass (observed) Sharks_B_rel","biomass (predicted) OtherGadoids_B_rel","biomass (observed) OtherGadoids_B_rel","biomass (predicted) DemersalFish_B_rel","biomass (observed) DemersalFish_B_rel","biomass (predicted) SeaBass_B_rel","biomass (observed) SeaBass_B_rel","biomass (predicted) HorseMackerel_B_rel","biomass (observed) HorseMackerel_B_rel","biomass (predicted) PelagicFish_B_rel","biomass (observed) PelagicFish_B_rel","biomass (predicted) Sandeels_B_rel","biomass (observed) Sandeels_B_rel",
81,0.3274184,,1.236574,,0.6111381,,0.5657842,,0.3272564,,0.7280353,,0.3853433,,0.333482,,21.09551,,0.9428935,,0.01566778,,0.3842421,,1.746375,,0.01174032,,1.503725,,0.05985723,,5.697713,,
82,0.322053,,1.254561,,0.6112132,,0.5643667,,0.3281026,,0.7286959,,0.382875,,0.3361068,,21.39377,,0.9365243,,0.01570917,,0.3825337,,1.790846,,0.01195049,,1.514863,,0.0594958,,5.620837,,
83,0.3162709,,1.272023,,0.6098455,,0.5626611,,0.3283527,,0.7292549,,0.3829642,,0.338362,,21.68769,,0.9327445,,0.01574503,,0.3802139,,1.819955,,0.01212908,,1.530759,,0.05891688,,5.550924,,
84,0.3104164,,1.289141,,0.6086948,,0.560748,,0.3278762,,0.729858,,0.3853792,,0.3403335,,21.97706,,0.9311286,,0.01578004,,0.3773603,,1.829326,,0.01229465,,1.550986,,0.05813295,,5.484816,,
85,0.3000755,,1.302619,,0.6073673,,0.5584973,,0.3098004,,0.7306056,,0.3904209,,0.3420686,,22.26186,,0.9311798,,0.01581653,,0.3741042,,1.814646,,0.01246411,,1.5752,,0.05741168,,5.3768,,
86,0.2904242,,1.31701,,0.6051417,,0.5558263,,0.2947029,,0.7315933,,0.3970401,,0.3436444,,22.54232,,0.9325047,,0.01585288,,0.3706559,,1.775054,,0.01263314,,1.602951,,0.05654526,,5.284574,,
87,0.2815963,,1.332304,,0.6024815,,0.5527659,,0.2823939,,0.732881,,0.4050034,,0.3451339,,22.81818,,0.9348543,,0.01588925,,0.3671873,,1.711716,,0.01280545,,1.633761,,0.05557981,,5.211467,,
88,0.2737037,,1.348236,,0.5995523,,0.5493666,,0.272548,,0.7344679,,0.4140331,,0.3465591,,23.0889,,0.9380134,,0.01592535,,0.3638418,,1.627972,,0.01297958,,1.667045,,0.054555,,5.159146,,
89,0.2668261,,1.364166,,0.5961184,,0.5456989,,0.2647789,,0.736304,,0.4238646,,0.3478827,,23.35366,,0.941813,,0.01596083,,0.3607164,,1.529019,,0.01315124,,1.702116,,0.05350094,,5.127262,,
90,0.2607982,0.3984044,1.379334,2.067548,0.591303,0.2703033,0.541841,0.2130384,0.2587091,0.3398536,0.7382976,0.5519989,0.4342877,0.1796055,0.3490168,0.1811502,23.61162,16.56419,0.9460879,0.3275931,0.01599474,0.001140837,0.3578638,0.2985823,1.421521,2.192599,0.01330792,,1.738147,0.628952,0.05243037,0.01944673,5.114189,1.326386,
91,0.255315,,1.392708,,0.5842588,,0.5378583,,0.2539937,,0.7403302,,0.4451073,,0.3498933,,23.86213,,0.950558,,0.01602573,,0.3552939,,1.312085,,0.01343034,,1.774127,,0.05133709,,5.117034,,
92,0.2506925,,1.403081,,0.5785599,,0.5338216,,0.250305,,0.742357,,0.4561703,,0.3505864,,24.10515,,0.9548597,,0.01605526,,0.3529792,,1.205576,,0.01352345,,1.80898,,0.05024109,,5.131037,,
93,0.2467646,,1.409112,,0.5729359,,0.5298598,,0.2473461,,0.7443314,,0.4673519,,0.3512197,,24.34116,,0.9588391,,0.01608776,,0.3508766,,1.105407,,0.01360626,,1.841984,,0.04917279,,5.150255,,
94,0.2432654,,1.409613,,0.5676695,,0.5260317,,0.2450108,,0.7462218,,0.4785681,,0.3518938,,24.57073,,0.9623847,,0.01612302,,0.3490059,,1.018195,,0.01368506,,1.872248,,0.04818556,,5.174757,,
95,0.2400194,,1.403589,,0.5634024,,0.5224163,,0.2432367,,0.7479889,,0.4896136,,0.3526823,,24.79443,,0.9654957,,0.01616108,,0.3473979,,0.9487399,,0.01377044,,1.898952,,0.04732663,,5.205337,,
96,0.236882,,1.390389,,0.5604288,,0.5190986,,0.2419865,,0.7496021,,0.5004387,,0.353606,,25.0125,,0.9681711,,0.01620118,,0.3460853,,0.8992426,,0.01386575,,1.921303,,0.04662143,,5.242966,,
97,0.2331189,,1.371871,,0.5574167,,0.5153124,,0.2560328,,0.7510025,,0.5112577,,0.3546225,,25.22481,,0.9703877,,0.01624222,,0.3450865,,0.8689086,,0.01395247,,1.938581,,0.04618769,,5.176147,,
98,0.2291668,,1.345909,,0.5549553,,0.5120178,,0.269215,,0.7521396,,0.5215378,,0.3556309,,25.4311,,0.9721363,,0.01628267,,0.344414,,0.8556243,,0.01403966,,1.950132,,0.04589237,,5.1343,,
99,0.224871,,1.313809,,0.5522166,,0.5092518,,0.2815831,,0.7529822,,0.5312209,,0.3565198,,25.63117,,0.973321,,0.01632091,,0.3440666,,0.8560818,,0.01411155,,1.955355,,0.04570422,,5.117095,,
100,0.220274,,1.277753,,0.5499562,,0.5070421,,0.2931079,,0.7535582,,0.5402613,,0.3573063,,25.82514,,0.9737825,,0.01635677,,0.3440283,,0.8665746,,0.01416467,,1.953775,,0.04559617,,5.121556,,
101,0.2154963,,1.240676,,0.5493076,,0.50541,,0.3036964,,0.7539504,,0.5487796,,0.358097,,26.01367,,0.9733425,,0.01639234,,0.3442795,,0.8837489,,0.0142119,,1.945192,,0.04555696,,5.143149,,
102,0.2104629,0.2344062,1.205726,6.267332,0.5491303,0.2653529,0.5043545,0.3507233,0.313275,0.07388435,0.7542307,0.2960869,0.5567937,0.5007281,0.3589943,0.116535,26.19778,15.10524,0.971888,0.7008753,0.01642954,0.0035616,0.3448236,0.4484558,0.9056586,0.786577,0.01426743,,1.929757,2.638324,0.04558872,0.003241676,5.178555,8.049248,
103,0.2051515,,1.175995,,0.5499388,,0.5038456,,0.3218587,,0.7544859,,0.5642215,,0.3600687,,26.37836,,0.9695303,,0.01646887,,0.3456964,,0.9321073,,0.01434877,,1.90796,,0.04571481,,5.226845,,
104,0.199556,,1.154101,,0.5520388,,0.5038325,,0.3295107,,0.7547799,,0.5709515,,0.3613254,,26.55592,,0.9664091,,0.0165099,,0.3469273,,0.9630886,,0.01446138,,1.88055,,0.04594282,,5.287417,,
105,0.1936845,,1.141516,,0.5552496,,0.5042537,,0.3362811,,0.7551353,,0.5767232,,0.3626986,,26.73019,,0.9627034,,0.01655233,,0.3485017,,0.9983084,,0.01460488,,1.848517,,0.04626097,,5.3582,,
106,0.1875512,,1.138716,,0.5587943,,0.5050311,,0.3422152,,0.7555026,,0.5810742,,0.364033,,26.90047,,0.9586566,,0.01659568,,0.3503729,,1.037326,,0.01477185,,1.813076,,0.04664388,,5.436306,,
107,0.1811833,,1.14529,,0.5612749,,0.5060533,,0.3473543,,0.7557786,,0.5834378,,0.3650928,,27.06597,,0.9544693,,0.01663817,,0.3524726,,1.079149,,0.01493713,,1.775554,,0.04704083,,5.518441,,
108,0.1748955,,1.160006,,0.5624382,,0.5071416,,0.3516926,,0.7558638,,0.5831518,,0.365797,,27.22609,,0.9501018,,0.01667836,,0.3547089,,1.121416,,0.01507836,,1.737246,,0.04739015,,5.600358,,
109,0.1688799,,1.180269,,0.5661515,,0.5074164,,0.3404131,,0.7557157,,0.5799791,,0.3662751,,27.38093,,0.945479,,0.01671882,,0.3569744,,1.162078,,0.01523259,,1.699448,,0.04797293,,5.755068,,
110,0.1632972,,1.20526,,0.5692748,,0.5077142,,0.3307041,,0.7553151,,0.5724665,,0.3666524,,27.53119,,0.9405985,,0.01676323,,0.3591824,,1.199872,,0.01540216,,1.663598,,0.04845401,,5.889417,,
111,0.1581478,,1.233112,,0.5722496,,0.5079574,,0.3226179,,0.7546533,,0.5596294,,0.3670244,,27.67741,,0.9357141,,0.01681083,,0.361307,,1.235392,,0.01559703,,1.631046,,0.04884867,,6.001591,,
112,0.1534701,,1.262202,,0.575615,,0.5080968,,0.3161061,,0.7536828,,0.5406292,,0.3674356,,27.81989,,0.9311419,,0.01686085,,0.3633244,,1.269509,,0.01582266,,1.602849,,0.04916441,,6.090919,,
113,0.1493541,,1.291237,,0.5794448,,0.5080961,,0.3110164,,0.7524381,,0.524673,,0.3678582,,27.95822,,0.9271355,,0.01691235,,0.3651893,,1.302729,,0.01607777,,1.57973,,0.04939305,,6.156784,,
114,0.1459607,0.1369257,1.319283,2.162863,0.583492,0.4029221,0.5079398,0.4559866,0.3071355,0.3395284,0.7508565,0.2647177,0.5127047,0.356189,0.3681741,0.1781972,28.09142,12.6704,0.923974,0.7154149,0.01696465,0.002480701,0.3668384,0.1337029,1.335383,0.3615222,0.01635846,,1.56213,5.155618,0.04951755,0.7887978,6.198641,9.37052,
115,0.1434211,,1.345856,,0.5865672,,0.5076256,,0.3042392,,0.748971,,0.503585,,0.368173,,28.21829,,0.9219193,,0.01701618,,0.3682052,,1.367578,,0.01664569,,1.550238,,0.0495054,,6.216527,,
116,0.141638,,1.37066,,0.5864767,,0.5071427,,0.3021014,,0.7467579,,0.4964435,,0.3677096,,28.33763,,0.9210098,,0.01706367,,0.3692194,,1.398526,,0.01689811,,1.543912,,0.04929437,,6.21071,,
117,0.1410785,,1.393596,,0.5884444,,0.5064735,,0.3004598,,0.7443467,,0.4906704,,0.3668863,,28.44895,,0.9210139,,0.01710787,,0.3698072,,1.426073,,0.01712147,,1.542734,,0.04886534,,6.180297,,
118,0.1416515,,1.414518,,0.5899525,,0.5056641,,0.2990186,,0.7418662,,0.4858083,,0.3658295,,28.55267,,0.9218793,,0.01715523,,0.3699047,,1.447884,,0.01735278,,1.546557,,0.04821771,,6.122684,,
119,0.1431047,,1.433319,,0.59109,,0.5046952,,0.2977246,,0.7393947,,0.4815099,,0.3646538,,28.64911,,0.9235441,,0.01720424,,0.3695379,,1.464154,,0.01759022,,1.555015,,0.04738903,,6.043619,,
120,0.1451751,,1.449872,,0.5923371,,0.5035669,,0.2965383,,0.7370008,,0.4775778,,0.3634523,,28.73875,,0.926053,,0.017255,,0.3687509,,1.475418,,0.01784484,,1.567698,,0.04642322,,5.949495,,
121,0.1509455,,1.467604,,0.5977025,,0.5010045,,0.2931873,,0.7347287,,0.4748671,,0.3622559,,28.82175,,0.9293454,,0.01730699,,0.3676029,,1.481517,,0.01811614,,1.584062,,0.04498855,,5.649693,,
122,0.1567215,,1.481833,,0.6019242,,0.4982786,,0.2902516,,0.7326079,,0.4718312,,0.3610196,,28.89725,,0.9333581,,0.01735951,,0.3661268,,1.482232,,0.01840279,,1.603499,,0.04351698,,5.392554,,
123,0.1622438,,1.49196,,0.604302,,0.4953697,,0.287695,,0.7306235,,0.4683557,,0.3596319,,28.96453,,0.9380053,,0.01741102,,0.3643807,,1.476803,,0.01869446,,1.625415,,0.04202159,,5.184588,,
124,0.1671825,,1.497338,,0.6028661,,0.4922821,,0.2854904,,0.7287512,,0.4644916,,0.3579349,,29.0228,,0.9430812,,0.01745826,,0.3624278,,1.464235,,0.01895025,,1.64914,,0.04048996,,5.027384,,
125,0.1716084,,1.497309,,0.6002413,,0.4890274,,0.283578,,0.7270334,,0.4602108,,0.3559473,,29.07175,,0.9481251,,0.01749982,,0.3603204,,1.442442,,0.01915094,,1.673859,,0.03892002,,4.917391,,
126,0.1756483,0.2475591,1.491151,2.779071,0.5972309,1.211848,0.4856749,0.4626131,0.2818166,0.2820624,0.7255464,0.3498066,0.4555661,0.3989625,0.353805,0.1502946,29.11209,20.92161,0.952904,0.4532947,0.01754101,0.00541574,0.3580961,0.6052703,1.408391,1.683195,0.0193314,0.00560814,1.699134,5.212985,0.03733173,0.004826762,4.84604,10.98634,
127,0.1792652,,1.478391,,0.5931199,,0.4822931,,0.2801922,,0.7243401,,0.4507017,,0.3516572,,29.14492,,0.9572605,,0.017583,,0.3558513,,1.362538,,0.01950427,,1.724546,,0.03576896,,4.808146,,
128,0.1824648,,1.458925,,0.5884836,,0.4789535,,0.2787637,,0.7234485,,0.4455626,,0.3496327,,29.17149,,0.9611228,,0.01762496,,0.3537104,,1.308295,,0.01967684,,1.749593,,0.0342807,,4.800275,,
129,0.1853014,,1.433116,,0.583943,,0.4757378,,0.2775872,,0.7228909,,0.4401824,,0.3478018,,29.19294,,0.9644825,,0.01766638,,0.3517834,,1.250049,,0.01985747,,1.773749,,0.03289968,,4.818565,,
130,0.1878149,,1.401885,,0.5796725,,0.472724,,0.2767036,,0.722655,,0.4344828,,0.3461553,,29.20995,,0.9673353,,0.01770653,,0.3501486,,1.192206,,0.02004761,,1.796437,,0.03163943,,4.858721,,
131,0.1899891,,1.36677,,0.5753871,,0.4699756,,0.2761329,,0.7226899,,0.4283687,,0.3446077,,29.22273,,0.9696989,,0.01774478,,0.3488479,,1.138511,,0.02024555,,1.817078,,0.03050057,,4.916173,,
132,0.1917266,,1.330072,,0.5701711,,0.4674865,,0.2758843,,0.7229372,,0.4217988,,0.3430096,,29.23129,,0.9714938,,0.01777971,,0.3478983,,1.091212,,0.02043329,,1.835071,,0.02946991,,4.986635,,
133,0.1901523,,1.295634,,0.5654479,,0.4645674,,0.2748754,,0.7233483,,0.4156713,,0.3412729,,29.23569,,0.9725722,,0.0178099,,0.3472923,,1.051381,,0.02058431,,1.849789,,0.02868332,,5.209798,,
134,0.188671,,1.264396,,0.5619518,,0.4620901,,0.2742361,,0.7239773,,0.4088712,,0.3394766,,29.237,,0.9727012,,0.01783717,,0.3470044,,1.018366,,0.02069819,,1.860629,,0.02794796,,5.419816,,
135,0.18741,,1.238569,,0.5589541,,0.4601111,,0.2738373,,0.724855,,0.4014113,,0.337735,,29.23658,,0.9717493,,0.01786601,,0.3469926,,0.9911994,,0.02080421,,1.867335,,0.02726167,,5.609772,,
136,0.1864195,,1.219898,,0.5564015,,0.4586487,,0.273664,,0.7259853,,0.393399,,0.336156,,29.236,,0.9696669,,0.01789707,,0.3472697,,0.9712952,,0.020917,,1.869701,,0.02664115,,5.776942,,
137,0.1858324,,1.209273,,0.5551191,,0.4577107,,0.2737239,,0.727373,,0.3858048,,0.3348053,,29.23674,,0.9665477,,0.01793099,,0.3478569,,0.9603302,,0.02105737,,1.867653,,0.02610158,,5.920297,,
138,0.1857749,0.2090686,1.206887,0.6827612,0.5554858,0.2716202,0.4572967,1.191986,0.2740225,0.05609157,0.7290096,0.4992565,0.3795346,0.4426992,0.3336826,0.2806033,29.23965,12.99361,0.9625138,0.7870107,0.01796767,0.02177007,0.348761,0.5334154,0.9593168,1.320663,0.02123247,0.00509245,1.86122,7.052865,0.02564394,0.001640761,6.039732,19.69449,
139,0.186301,,1.212414,,0.5573652,,0.4573936,,0.274538,,0.7308263,,0.3751287,,0.3327151,,29.24477,,0.9577428,,0.01800698,,0.3499546,,0.9683451,,0.02144307,,1.850577,,0.02525751,,6.135091,,
140,0.1873163,,1.224862,,0.5597693,,0.4579712,,0.2752353,,0.7327883,,0.3728238,,0.3317556,,29.25158,,0.9524779,,0.0180482,,0.3513878,,0.9869277,,0.02167688,,1.836064,,0.02492301,,6.206445,,
141,0.1885318,,1.242984,,0.5618953,,0.4589722,,0.2760672,,0.7348454,,0.3726384,,0.3306268,,29.25937,,0.946924,,0.01808911,,0.3529935,,1.013822,,0.02189554,,1.818139,,0.02460863,,6.254006,,
142,0.1898592,,1.26541,,0.564447,,0.4603073,,0.2769454,,0.7369834,,0.3744989,,0.3293111,,29.26767,,0.9411334,,0.01812892,,0.3546818,,1.046791,,0.02207833,,1.797333,,0.02428421,,6.277152,,
143,0.1913431,,1.290691,,0.568824,,0.4618858,,0.2777362,,0.7392876,,0.3782519,,0.3279051,,29.27673,,0.9350997,,0.01817125,,0.3563525,,1.083327,,0.02225385,,1.77442,,0.02393376,,6.273868,,
144,0.1926964,,1.317458,,0.5736122,,0.4636101,,0.2783597,,0.7417543,,0.3836542,,0.3265102,,29.2873,,0.9288709,,0.01821853,,0.3579406,,1.121994,,0.02244607,,1.750419,,0.0235541,,6.244798,,
145,0.198794,,1.341753,,0.579196,,0.4646628,,0.2851656,,0.7444277,,0.3911527,,0.3252151,,29.30005,,0.9227325,,0.01827031,,0.3594244,,1.162948,,0.02261382,,1.726462,,0.02319498,,6.247343,,
146,0.2046192,,1.365771,,0.585982,,0.4657672,,0.2911073,,0.7472616,,0.3996997,,0.3240483,,29.31464,,0.9169934,,0.01832574,,0.3607685,,1.206283,,0.02282375,,1.703591,,0.02282125,,6.226171,,
147,0.2100979,,1.388714,,0.5935448,,0.4668387,,0.2962464,,0.7502439,,0.4089507,,0.3229738,,29.33053,,0.9119512,,0.01838395,,0.3619335,,1.251752,,0.02307455,,1.682697,,0.02242986,,6.18504,,
148,0.2151554,,1.409975,,0.6009029,,0.4678064,,0.300627,,0.753278,,0.4186549,,0.32188,,29.34655,,0.9079102,,0.01844399,,0.3628668,,1.298837,,0.02335874,,1.66452,,0.02201421,,6.127612,,
149,0.2196749,,1.429211,,0.6068193,,0.46861,,0.304293,,0.7563281,,0.4285319,,0.3205833,,29.3613,,0.9051062,,0.01850345,,0.3635164,,1.346612,,0.02364009,,1.649593,,0.02155989,,6.057701,,
150,0.2235538,0.1407373,1.446001,0.9060293,0.6095321,0.4588807,0.4691859,0.4655803,0.3072686,0.1886843,0.7592917,0.768583,0.4383647,0.3736754,0.3189977,0.256479,29.37342,13.47636,0.903515,0.539196,0.01855905,0.02207061,0.3638271,0.1292287,1.393128,1.693976,0.02386399,0.006413909,1.638135,1.647009,0.02104508,0.2258013,5.978333,4.675743,
151,0.2272348,,1.459977,,0.6136225,,0.4694799,,0.3095251,,0.7622515,,0.4480481,,0.3172385,,29.38244,,0.9029104,,0.01861263,,0.3637444,,1.435384,,0.02405133,,1.630157,,0.02046905,,5.890203,,
152,0.2307903,,1.470601,,0.6163357,,0.4694926,,0.3110078,,0.7651561,,0.4575746,,0.3154291,,29.38873,,0.9031955,,0.0186701,,0.3632366,,1.470658,,0.02424859,,1.625839,,0.01983809,,5.792906,,
153,0.2342899,,1.477337,,0.6179044,,0.4692242,,0.3118455,,0.7680116,,0.4668344,,0.3136968,,29.39274,,0.9043616,,0.01872971,,0.3623657,,1.498599,,0.02445891,,1.625193,,0.01917985,,5.693591,,
154,0.2378733,,1.479689,,0.6189279,,0.4687044,,0.3121769,,0.7707099,,0.4757129,,0.3121218,,29.39488,,0.9064729,,0.01879095,,0.3612102,,1.519307,,0.02469388,,1.628111,,0.01851758,,5.598846,,
155,0.2416617,,1.477248,,0.6196305,,0.4679737,,0.3121455,,0.7732081,,0.4840816,,0.3107097,,29.39509,,0.9095599,,0.01885282,,0.3598519,,1.53301,,0.02495252,,1.634332,,0.01786633,,5.514238,,
156,0.2453902,,1.469593,,0.619792,,0.4670706,,0.3118792,,0.7753373,,0.4918894,,0.3093803,,29.39269,,0.9136418,,0.01891451,,0.3583612,,1.539834,,0.02523042,,1.643506,,0.01723497,,5.443376,,
157,0.2478239,,1.450804,,0.6203179,,0.4670533,,0.2948868,,0.7769978,,0.4994426,,0.3079771,,29.38682,,0.9186029,,0.01897448,,0.3568061,,1.539127,,0.02548743,,1.655198,,0.01673708,,5.384343,,
158,0.2500064,,1.427855,,0.6175241,,0.4667144,,0.2810576,,0.7779939,,0.5061303,,0.3063725,,29.3768,,0.9242086,,0.01902925,,0.3552516,,1.530133,,0.02568943,,1.668858,,0.01624408,,5.342698,,
159,0.2523463,,1.401362,,0.6145481,,0.466108,,0.2698922,,0.778309,,0.5118639,,0.304623,,29.36237,,0.9300537,,0.019078,,0.3537436,,1.511293,,0.02582313,,1.6838,,0.01575428,,5.316655,,
160,0.2550683,,1.372226,,0.6112728,,0.4653136,,0.2608224,,0.7778589,,0.5166514,,0.3028456,,29.34428,,0.9359577,,0.01912614,,0.3523088,,1.480237,,0.02593281,,1.699667,,0.01527316,,5.300993,,
161,0.2580622,,1.341842,,0.60725,,0.4643923,,0.2534487,,0.7766241,,0.5204858,,0.3011675,,29.32378,,0.9417505,,0.01917415,,0.3510305,,1.43804,,0.02603034,,1.716068,,0.01481856,,5.295586,,
162,0.2612565,0.1318082,1.312021,6.728857,0.6031421,0.4666998,0.4634021,1.088322,0.2474585,0.3568729,0.7745741,0.2997245,0.5232779,0.5193839,0.2996898,0.2962862,29.30228,12.18786,0.9473764,0.495879,0.019222,0.02753236,0.3500034,0.8181776,1.387939,1.771567,0.02613346,0.007670905,1.732593,1.815413,0.01440906,0.1941355,5.301762,6.538601,
163,0.2646294,,1.284566,,0.5995829,,0.4624076,,0.2425974,,0.7717313,,0.5248693,,0.2984586,,29.28098,,0.9527998,,0.01926943,,0.3493062,,1.334074,,0.02625158,,1.748779,,0.0140555,,5.320792,,
164,0.2681216,,1.261157,,0.5967204,,0.4614726,,0.238645,,0.768164,,0.52501,,0.2974514,,29.26041,,0.9579898,,0.0193163,,0.3489768,,1.280291,,0.02638621,,1.764132,,0.01376009,,5.352629,,
165,0.2715881,,1.243154,,0.5942104,,0.4606569,,0.2354167,,0.7639384,,0.523406,,0.2965809,,29.24056,,0.9629526,,0.01936249,,0.3490161,,1.22991,,0.0265324,,1.778166,,0.01351981,,5.396152,,
166,0.2747201,,1.231666,,0.591001,,0.4600077,,0.2327643,,0.75916,,0.5196317,,0.2957015,,29.22114,,0.9676521,,0.01940645,,0.3493995,,1.185361,,0.02665358,,1.790376,,0.01332407,,5.44966,,
167,0.2771763,,1.227075,,0.5862503,,0.4595457,,0.2305493,,0.7539758,,0.513283,,0.294742,,29.20189,,0.9718983,,0.01944637,,0.3500704,,1.147302,,0.02670356,,1.800187,,0.01315687,,5.510078,,
168,0.2793043,,1.229159,,0.5839805,,0.4592739,,0.228617,,0.748611,,0.5040569,,0.2937852,,29.18332,,0.9754419,,0.01948507,,0.350946,,1.114461,,0.02670705,,1.807118,,0.01301105,,5.572047,,
169,0.2806454,,1.231982,,0.5821351,,0.4617333,,0.240118,,0.74322,,0.4922282,,0.2929223,,29.16659,,0.978148,,0.01952808,,0.351944,,1.085066,,0.02666159,,1.811117,,0.01290327,,5.523391,,
170,0.28151,,1.240658,,0.5807016,,0.4641197,,0.2505698,,0.7379284,,0.4811987,,0.2922446,,29.1529,,0.9799919,,0.0195745,,0.3530549,,1.061132,,0.02663136,,1.812134,,0.01282022,,5.488146,,
171,0.2818595,,1.253969,,0.58025,,0.4664414,,0.2601359,,0.7328304,,0.4735008,,0.2917922,,29.1431,,0.9809858,,0.01962371,,0.3542669,,1.044086,,0.02663365,,1.810209,,0.01276568,,5.468629,,
172,0.2816746,,1.27066,,0.5808551,,0.4687016,,0.2689098,,0.727972,,0.4682224,,0.2915451,,29.13725,,0.9811419,,0.01967492,,0.3555466,,1.034493,,0.02667213,,1.805451,,0.01273713,,5.465238,,
173,0.280937,,1.289562,,0.5822417,,0.4709011,,0.2769347,,0.7233522,,0.4646088,,0.291418,,29.13463,,0.9805171,,0.01972757,,0.3568369,,1.032253,,0.02674506,,1.798069,,0.01272865,,5.476534,,
174,0.2795829,0.04619854,1.309681,3.524871,0.5833148,0.6306224,0.4730376,0.02074724,0.2842291,0.2813943,0.7189341,0.297621,0.4620601,0.3284328,0.2912612,0.1809067,29.13416,13.92622,0.9791983,0.4686705,0.01978038,0.04368414,0.3580722,0.8100823,1.036869,4.310122,0.02683026,0.01914503,1.788366,4.657672,0.01273053,0.5940734,5.500087,4.782182,
175,0.2775126,,1.33021,,0.5831993,,0.4750951,,0.2907913,,0.7152584,,0.4601512,,0.2909513,,29.13466,,0.9771919,,0.01982944,,0.3591789,,1.047157,,0.02687932,,1.776659,,0.01272732,,5.532532,,
176,0.2748925,,1.350474,,0.5836853,,0.4770409,,0.2965736,,0.7122294,,0.4586458,,0.2905251,,29.13539,,0.9743909,,0.01987598,,0.3600712,,1.061057,,0.02688414,,1.763271,,0.0127068,,5.56899,,
177,0.2717937,,1.3699,,0.5849095,,0.4788708,,0.3014833,,0.7097511,,0.4573397,,0.2900732,,29.13642,,0.9707414,,0.01992498,,0.3606662,,1.076597,,0.02688136,,1.748776,,0.01266201,,5.6034,,
178,0.2680575,,1.388033,,0.5860196,,0.4805897,,0.3055163,,0.7077299,,0.4560839,,0.2896767,,29.13835,,0.966284,,0.01997789,,0.3609471,,1.093539,,0.02689021,,1.73384,,0.01259584,,5.633362,,
179,0.2639818,,1.404473,,0.587602,,0.4820371,,0.3087353,,0.7060725,,0.4547352,,0.2893698,,29.14188,,0.96108,,0.02003508,,0.3609402,,1.11135,,0.0269423,,1.719167,,0.01251879,,5.658628,,
180,0.2599266,,1.418949,,0.5901176,,0.4832266,,0.3112414,,0.7047133,,0.4531616,,0.289179,,29.14719,,0.9553048,,0.0200957,,0.360689,,1.130643,,0.02704736,,1.705364,,0.01243463,,5.679856,,
181,0.2579648,,1.435733,,0.5918316,,0.4853123,,0.3061641,,0.7035954,,0.4530627,,0.2890693,,29.1536,,0.9491606,,0.02015887,,0.3602204,,1.15152,,0.02718542,,1.692916,,0.01236962,,5.606477,,
182,0.2561866,,1.449206,,0.5936131,,0.4870523,,0.3016133,,0.7026505,,0.4522259,,0.2889337,,29.15968,,0.9429381,,0.02022339,,0.3595528,,1.174075,,0.02737047,,1.682215,,0.01229899,,5.544544,,
183,0.2545718,,1.459108,,0.5938866,,0.4884724,,0.2976104,,0.7019213,,0.4506234,,0.2885907,,29.1641,,0.936884,,0.02028611,,0.3587108,,1.197847,,0.0275453,,1.673492,,0.01221519,,5.494731,,
184,0.2531935,,1.465214,,0.5921922,,0.4895651,,0.2941289,,0.7014869,,0.4482923,,0.287988,,29.1658,,0.9309672,,0.02034384,,0.357708,,1.220988,,0.02765056,,1.666705,,0.01210681,,5.45606,,
185,0.2525442,,1.467095,,0.591991,,0.4903328,,0.2910462,,0.7014771,,0.4454348,,0.2872315,,29.16477,,0.9250507,,0.02040075,,0.3565451,,1.240718,,0.02772987,,1.661839,,0.01197257,,5.424786,,
186,0.2526079,0.1190827,1.46427,0.2890513,0.5909482,0.3220899,0.4908246,0.05569857,0.2882703,0.3308452,0.7020603,0.3422655,0.4421141,0.3254027,0.2864367,,29.16184,,0.9190688,0.8590873,0.02046145,0.03501409,0.3552633,0.05838203,1.255378,1.187272,0.02782544,0.01985411,1.659076,0.3570863,0.01181664,0.004610756,5.398275,7.650737,
187,0.2532634,,1.456498,,0.5894402,,0.4910779,,0.2858537,,0.7032547,,0.4383604,,0.2857139,,29.15799,,0.9131317,,0.02052423,,0.3539798,,1.265633,,0.02794634,,1.65848,,0.01165394,,5.378304,,
