EwEVersion,"6.6.8.18072 (compiled 04/11/2022)"
Date,"04/03/2024 13:31:46"
ModelName,EMBENS_SP_DL
EcosimScenario,EMBENS_DL_test_1
TimeSeries,time_series_1991-2021_raja_incl_1991_2018
StartYear,1991

Timestep,"biomass (predicted) Cod.adult_B_rel","biomass (observed) Cod.adult_B_rel","biomass (predicted) Herring.adult_B_rel","biomass (observed) Herring.adult_B_rel","biomass (predicted) Whiting.adult_B_rel","biomass (observed) Whiting.adult_B_rel","biomass (predicted) Mackerel_B_rel","biomass (observed) Mackerel_B_rel","biomass (predicted) Sprat_B_rel","biomass (observed) Sprat_B_rel","biomass (predicted) Plaice.adult_B_rel","biomass (observed) Plaice.adult_B_rel","biomass (predicted) Sole.adult_B_rel","biomass (observed) Sole.adult_B_rel","biomass (predicted) OtherFlatfish_B_rel","biomass (observed) OtherFlatfish_B_rel","biomass (predicted) Dab_B_rel","biomass (observed) Dab_B_rel","biomass (predicted) Rays_B_rel","biomass (observed) Rays_B_rel","biomass (predicted) Sharks_B_rel","biomass (observed) Sharks_B_rel","biomass (predicted) OtherGadoids_B_rel","biomass (observed) OtherGadoids_B_rel","biomass (predicted) DemersalFish_B_rel","biomass (observed) DemersalFish_B_rel","biomass (predicted) SeaBass_B_rel","biomass (observed) SeaBass_B_rel","biomass (predicted) HorseMackerel_B_rel","biomass (observed) HorseMackerel_B_rel","biomass (predicted) PelagicFish_B_rel","biomass (observed) PelagicFish_B_rel","biomass (predicted) Sandeels_B_rel","biomass (observed) Sandeels_B_rel",
20,0.1477125,,2.515264,,0.385689,,0.7232209,,0.6386789,,0.4764806,,0.320858,,0.113615,,5.802052,,0.6198717,,0.01319735,,0.3758692,,0.8967786,,0.004817292,,1.685487,,0.137071,,7.485457,,
21,0.1487446,,2.427161,,0.3932771,,0.714114,,0.5926238,,0.4955837,,0.3468055,,0.1154051,,5.950324,,0.6185304,,0.01332525,,0.3860284,,0.8637033,,0.004880634,,1.73133,,0.1269162,,7.288,,
22,0.1501457,,2.261249,,0.4011469,,0.704105,,0.5405281,,0.516723,,0.3741523,,0.1171303,,6.106312,,0.6209074,,0.01344846,,0.3943243,,0.8397517,,0.004944234,,1.7791,,0.115471,,7.018146,,
23,0.1517274,,1.985025,,0.4088948,,0.6935288,,0.4854772,,0.5392531,,0.4020863,,0.118766,,6.268605,,0.6269351,,0.01355629,,0.4003077,,0.8265718,,0.005006418,,1.827271,,0.1035335,,6.685832,,
24,0.1530745,,1.726761,,0.4159909,,0.6826719,,0.430884,,0.562503,,0.4298899,,0.1203125,,6.43611,,0.636093,,0.01362222,,0.4036115,,0.8243014,,0.005062065,,1.874234,,0.09181672,,6.306765,,
25,0.1536017,,1.51902,,0.420388,,0.6707532,,0.3638107,,0.5859408,,0.4558538,,0.1218043,,6.607995,,0.6478176,,0.01365716,,0.4039656,,0.8324981,,0.005109015,,1.918237,,0.08106423,,6.119615,,
26,0.1545488,,1.352734,,0.4242796,,0.6592048,,0.3098521,,0.6093349,,0.4815885,,0.1233125,,6.783868,,0.6615455,,0.01367691,,0.4012925,,0.8490981,,0.005144681,,1.957543,,0.07139267,,5.875148,,
27,0.1559618,,1.215141,,0.4274683,,0.648219,,0.2690276,,0.6315576,,0.5056012,,0.1249298,,6.96365,,0.6768135,,0.01369066,,0.3957579,,0.8722101,,0.005173625,,1.990458,,0.06303389,,5.590087,,
28,0.157855,,1.098865,,0.4301167,,0.6379313,,0.240102,,0.6518906,,0.5271454,,0.1267476,,7.147412,,0.6932783,,0.01370291,,0.3878292,,0.9001853,,0.005202757,,2.01542,,0.05608036,,5.289972,,
29,0.1602589,,0.9994901,,0.4326509,,0.6284552,,0.221164,,0.6699792,,0.5458292,,0.1288356,,7.335195,,0.7106695,,0.01371595,,0.3782531,,0.9315129,,0.005240391,,2.030998,,0.05050517,,5.005283,,
30,0.163195,0.2189309,0.9147323,0.5296211,0.4355247,0.2592417,0.6199247,3.974792,0.2101183,0.1842776,0.6856223,0.4785612,0.5615774,0.3285459,0.131217,0.159296,7.526915,21.026,0.7287878,0.4168659,0.01373118,0.002727365,0.3679608,0.9211876,0.9647759,0.885771,0.005294562,0.008863439,2.035923,1.237247,0.04619706,0.005924597,4.764616,0.3159553,
31,0.1666486,,0.8435242,,0.4390064,,0.6125032,,0.2050523,,0.698856,,0.5743933,,0.1338581,,7.722414,,0.7475556,,0.01374945,,0.3579396,,0.999088,,0.005370053,,2.029173,,0.0430015,,4.589459,,
32,0.1703535,,0.7848504,,0.4419955,,0.6063331,,0.2043899,,0.709783,,0.5845682,,0.1366713,,7.921544,,0.7668834,,0.01376889,,0.3491008,,1.033974,,0.005452993,,2.010073,,0.04071025,,4.491883,,
33,0.1739526,,0.7376717,,0.4430968,,0.6014711,,0.2067905,,0.7187091,,0.5927145,,0.1395902,,8.124257,,0.7861665,,0.01378574,,0.3421346,,1.06751,,0.005517831,,1.978292,,0.03908207,,4.472755,,
34,0.1784581,,0.7005397,,0.4474088,,0.5980613,,0.210838,,0.7260637,,0.5995022,,0.1426737,,8.3309,,0.8052039,,0.01380626,,0.3374062,,1.097399,,0.005581746,,1.934521,,0.03799066,,4.518598,,
35,0.1835618,,0.6721234,,0.4525473,,0.5961823,,0.2154692,,0.7322023,,0.6055538,,0.1459964,,8.541928,,0.8243651,,0.01383692,,0.3350718,,1.123105,,0.005660792,,1.88103,,0.0373399,,4.613661,,
36,0.1887568,,0.6631776,,0.4585363,,0.5954635,,0.2204013,,0.7373984,,0.6113799,,0.1495958,,8.757568,,0.8436785,,0.01387335,,0.335242,,1.147315,,0.005755873,,1.82154,,0.03706753,,4.753172,,
37,0.1943041,,0.6753792,,0.4664345,,0.5950972,,0.2388531,,0.7418893,,0.6144901,,0.1535014,,8.978133,,0.8634132,,0.01391537,,0.3378365,,1.173795,,0.005880281,,1.760472,,0.03711957,,4.955684,,
38,0.1996459,,0.703572,,0.4766201,,0.5952546,,0.2563865,,0.7458151,,0.61878,,0.1577016,,9.203601,,0.8837577,,0.01396153,,0.3426253,,1.206343,,0.006026962,,1.702139,,0.03743764,,5.184138,,
39,0.2048515,,0.7395152,,0.4893797,,0.5956659,,0.2729628,,0.7491847,,0.6247245,,0.1621384,,9.433691,,0.9049187,,0.01400968,,0.3492605,,1.248259,,0.00619454,,1.650185,,0.03797035,,5.428082,,
40,0.2099503,,0.7749075,,0.5040161,,0.5961428,,0.2885365,,0.7519038,,0.6326996,,0.1666971,,9.668017,,0.9270608,,0.01405628,,0.3573304,,1.30197,,0.006372791,,1.607232,,0.03865631,,5.677041,,
41,0.2141761,,0.8033651,,0.5158876,,0.5965412,,0.3030257,,0.7536837,,0.6430105,,0.1712129,,9.906148,,0.9499151,,0.01409508,,0.3663803,,1.367373,,0.006533942,,1.574604,,0.03938439,,5.920395,,
42,0.2191015,0.2576279,0.821347,1.068122,0.5336143,0.4754181,0.5968041,5.513258,0.3161411,0.04601828,0.7548879,0.2798953,0.6556814,0.6738814,0.1756756,0.1390712,10.14798,22.89764,0.9728773,0.6564289,0.01412686,0.005090118,0.375918,0.7461035,1.441201,1.125038,0.006680218,0.009862592,1.552437,1.166906,0.04011559,0.04963428,6.144763,2.889306,
43,0.2249199,,0.8279471,,0.5526801,,0.5971721,,0.3271534,,0.7558574,,0.6705569,,0.1801382,,10.39362,,0.9963353,,0.01416249,,0.3854,,1.519693,,0.006831458,,1.540736,,0.04084105,,6.331028,,
44,0.2315048,,0.8245413,,0.5726584,,0.5974821,,0.3359598,,0.756779,,0.6871192,,0.1845998,,10.64267,,1.020086,,0.01419867,,0.3944078,,1.60067,,0.006983684,,1.53894,,0.04154944,,6.472731,,
45,0.2388082,,0.8136362,,0.5934854,,0.5976452,,0.3424717,,0.7578146,,0.7045047,,0.1890795,,10.89502,,1.043995,,0.01423506,,0.4025426,,1.681148,,0.007137485,,1.546083,,0.04223046,,6.564547,,
46,0.2467603,,0.7980211,,0.6150183,,0.5975946,,0.3466602,,0.7590531,,0.7215365,,0.193586,,11.15042,,1.067926,,0.01427145,,0.4094156,,1.757677,,0.007293237,,1.560974,,0.04286756,,6.602959,,
47,0.255146,,0.7803457,,0.63661,,0.5972891,,0.348557,,0.7605326,,0.7367252,,0.1981014,,11.40843,,1.091743,,0.01430752,,0.4146571,,1.826516,,0.007449725,,1.582372,,0.04343724,,6.586305,,
