Species
Small sandeel
Aesop shrimp
Hooknose
Albacore
Greater amberjack
Iceland catshark
Asp
Artic cod
NA
Boarfish
Black seabass
Atlantic bumper
Sand tiger shark
Rudderfish
Cephalopods nei
Atlantic surf clam
Rabbit fish
Crangon shrimps nei
Portunus swimcrabs nei
Pullet carpet shell
Sea cucumbers nei
Crevalle jack
Portuguese dogfish
Dogfishes nei
Queen snapper
Horned octopus
Black cardinal fish
Pod razor shell
Velvet belly
Grass carp(=White amur)
Threadsail filefish
Winter flounder
Flatfishes nei
Roach
Greenland halibut
Gulper shark
Mediterranean horse mackerel
False scad
Ratfishes nei
Blue-leg swimcrab
Deep-sea red crab
Seerfishes nei
Smooth callista
Four-spot megrim
Lefteye flounders nei
Dragonet
Golden grey mullet
Ocean sunfish
Red mullet
"True lobsters,lobsterettes nei"
Norway pout
Orange roughy
Flat and cupped oysters nei
Common periwinkle
Pompanos nei
Northern prawn
Golden redfish
Sailray
Starry ray
Round ray
Roundnose grenadier
Madeiran sardinella
Atlantic bay scallop
Starry smooth-hound
Arrowhead dogfish
Blackmouth catshark
"Dogfish sharks, etc. nei"
Silversides(=Sand smelts) nei
Sardinellas nei
Smooth hammerhead
Argentine shortfin squid
Veined squid
Northern shortfin squid
Longfin squid
Striped venus
Goldsinny-wrasse
Thickback soles nei
Lesser weever
Weeverfishes nei
"Houndsharks,smoothhounds nei"
Electric ray
Solid surf clam
"Sea urchins, etc. nei"
Common otter shell
Warty venus
Spiny lobsters nei
Yellowtail flounder
Aquatic invertebrates nei
Cartilaginous fishes nei
"Catsharks, nursehounds nei"
"Herrings, sardines nei"
Diadromous fishes nei
Gadiformes nei
"Gurnards, searobins nei"
"Porgies, seabreams nei"
Beaked redfish
"Cuttlefish, bobtail squids nei"
Angelshark
"Clams, etc. nei"
Common European bittersweet
Crangonid shrimps nei
Northern bluefin tuna
"Scorpionfishes, rockfishes nei"
Spotted seabass
Thickback soles
"Rays, stingrays, mantas nei"
Freshwater fishes nei
Brown seaweeds
"Groupers, seabasses nei"
"Octopuses, etc. nei"
Razor clams nei
Starfishes nei
Sturgeons nei
Trouts nei
"Catsharks, etc. nei"
Grooved carpet shell
Rocklings nei
Sea urchins nei
"Triggerfishes, durgons nei"
"Wrasses, hogfishes, etc. nei"
Argentines
