Species,EwE_FG
Octopuses nei,Squid & cuttlefish
"Octopuses, etc. nei",Squid & cuttlefish
Ommastrephidae squids nei,Squid & cuttlefish
Orange roughy,ND
Other,ND
Pacific calico scallop,Epifaunal macrobenthos (mobile grazers)
Pacific cupped oyster,Sessile epifauna
Palinurid spiny lobsters nei,Sharks
Pandalus shrimps nei,Large crabs + shrimps
Pargo breams nei,Demersal fish
Patagonian toothfish,Demersal fish
Pelagic fishes nei,Pelagic fish
Pelagic percomorphs nei,Pelagic fish
Pencil snakelet,Demersal fish
Periwinkles nei,Epifaunal macrobenthos (mobile grazers)
Philypnodon grandiceps,Demersal fish
Picarel,Demersal fish
Picked dogfish,Sharks
Pike-perch,ND
Piper gurnard,Demersal fish
Pod razor shell,Infaunal macrobenthos
Pollack,Other gadoids
Pompanos nei,ND
Porbeagle,Sharks
"Porgies, seabreams nei",Demersal fish
Portuguese dogfish,Sharks
Portunus swimcrabs nei,Large crabs + shrimps
Pouting(=Bib),Other gadoids
Pullet carpet shell,Infaunal macrobenthos
Pygmy shore-eel,Demersal fish
Queen snapper,ND
Queen scallop,Epifaunal macrobenthos (mobile grazers)
Rabbit fish,ND
Raja rays nei,Rays
Ratfishes nei,Demersal fish
Rays and skates nei,Rays
"Rays, stingrays, mantas nei",Rays
Razor clams nei,Infaunal macrobenthos
Red mullet,ND
Red gurnard,Demersal fish
Righteye flounders nei,Other flatfish
Roach,ND
Rocklings nei,Other gadoids
Round ray,Rays
Round sardinella,Pelagic fish
Roundnose grenadier,ND
Rudd,ND
Rudderfish,ND
Sailray,Rays
Saithe(=Pollock),Other gadoids
Sand tiger shark,Sharks
Sand gaper,Infaunal macrobenthos
Sand smelt,Pelagic fish
Sand sole,Other flatfish
Sand steenbras,Demersal fish
Sandeels(=Sandlances) nei,Sandeels
Sandy ray,Rays
Sardinellas nei,Pelagic fish
"Scorpionfishes, rockfishes nei",Demersal fish
Sea cucumbers nei,Epifaunal macrobenthos (mobile grazers)
Sea urchins nei,Epifaunal macrobenthos (mobile grazers)
"Sea urchins, etc. nei",Epifaunal macrobenthos (mobile grazers)
Sea trout,Demersal fish
Seabasses nei,Sea bass
Seaweeds nei,ND
Seerfishes nei,ND
Sevenstar flying squid,Squid & cuttlefish
Shads nei,Pelagic fish
Shagreen ray,Rays
"Sharks, rays, skates, etc. nei",Rays
Shortfin squids nei,Squid & cuttlefish
Silversides(=Sand smelts) nei,Pelagic fish
Small sandeel,Sandeels
Small-eyed ray,Rays
Small-spotted catshark,Sharks
Smooth callista,Infaunal macrobenthos
Smooth hammerhead,Sharks
Smooth-hound,Sharks
Smooth-hounds nei,Sharks
Solen razor clams nei,Infaunal macrobenthos
Soles nei,Sole (adult)
Solid surf clam,Infaunal macrobenthos
Southern pink shrimp,Large crabs + shrimps
Southern rays bream,Demersal fish
Spinous spider crab,Large crabs + shrimps
Spiny lobsters nei,Large crabs + shrimps
Spotted seabass,ND
Spotted ray,Rays
Starfishes nei,Epifaunal macrobenthos (mobile grazers)
Starry ray,Rays
Starry smooth-hound,Sharks
Streaked gurnard,Demersal fish
Striped venus,Infaunal macrobenthos
Striped marlin,ND
Sturgeons nei,ND
Sunfish,ND
Surmullet,Demersal fish
Surmullets(=Red mullets) nei,Demersal fish
Thickback soles,Other flatfish
Thickback soles nei,Other flatfish
Thickback sole,Other flatfish
Thicklip grey mullet,Demersal fish
Thinlip grey mullet,Demersal fish
Thornback ray,Rays
Threadsail filefish,ND
Thresher,Sharks
Thresher sharks nei,Sharks
Tiger shark,Sharks
Tilapia cabrae,ND
Tomeurus gracilis,ND
Toothed wrack,ND
Tope shark,Sharks
"Triggerfishes, durgons nei",ND
"Triggerfishes, durgons nei",ND
Trouts nei,ND
"True lobsters,lobsterettes nei",Large crabs + shrimps
Tub gurnard,Demersal fish
Tunas nei,ND
Turbot,Other flatfish
Tusk(=Cusk),Demersal fish
Twaite shad,Demersal fish
Undulate ray,Rays
Variegated scallop,Epifaunal macrobenthos (mobile grazers)
Various sharks nei,Sharks
Various squids nei,Squid & cuttlefish
Veined squid,Squid & cuttlefish
Velvet belly,ND
Velvet swimcrab,Large crabs + shrimps
Warty venus,Infaunal macrobenthos
Wedge sole,Other flatfish
Weeverfishes nei,Demersal fish
Weevers nei,Demersal fish
Whelk,Epifaunal macrobenthos (mobile grazers)
White bream,Demersal fish
White seabream,Demersal fish
White skate,Rays
Whiting,Whiting (adult)
Winter flounder,Other flatfish
Witch flounder,Other flatfish
Wolffishes(=Catfishes) nei,Demersal fish
"Wrasses, hogfishes, etc. nei",Demersal fish
Wreckfish,Demersal fish
Yellowtail flounder,Other flatfish
Clupeoids nei,Pelagic fish
"Cuttlefish,bobtail squids nei",Squid & cuttlefish
Scallops nei,Epifaunal macrobenthos (mobile grazers)
