"Country","Species","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","EwE_FG"
"France","Greater weever",0,0,0,0,0,0,0,0,0,1,3,1,1,0.5,2,0,1,0,2,1,"Demersal fish"
"France","Grey gurnard",16,16,21,20,22,13,17,9,0,4,16,8,3,2,1,1,1,1,2,4,"Demersal fish"
"France","Gurnards nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"France","Gurnards, searobins nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"Demersal fish"
"France","John dory",0,0,0,1,0,0,0,4,0,0.5,1,1,1,0,0,1,1,0,3,2,"Demersal fish"
"France","Ling",2,0,6,2,0,0,0,5,0,4,0,0,0,0,0,0,0,0,1,0,"Demersal fish"
"France","Monkfishes nei",0,0,0,0,0,0,0,10,0,0.5,0,0.5,0,0,0,0,0,0,1,1,"Demersal fish"
"France","Mullets nei",4,4,4,9,15,6,3,3,0,7,5,5,8,8,10,4,0,0,0,0,"Demersal fish"
"France","Porgies, seabreams nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"France","Ratfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Demersal fish"
"France","Red gurnard",63,56,81,75,71,75,48,70,0,54,111,43,39,27,26,11,14,12,35,28,"Demersal fish"
"France","Scorpionfishes, rockfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,"Demersal fish"
"France","Streaked gurnard",0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,"Demersal fish"
"France","Thicklip grey mullet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,"Demersal fish"
"France","Tub gurnard",73,119,123,204,160,95,55,101,0,206,134,203,99,83,109,91,80,65,129,70,"Demersal fish"
"France","Tusk(=Cusk)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"France","Wreckfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,"Demersal fish"
"Germany","Angler(=Monk)",0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany","Atlantic redfishes nei",0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany","Atlantic searobins",0,0,0,0,0,0,0,0,6,13,14,18,19,35,18,26,13,5,12,13,"Demersal fish"
"Germany","Atlantic wolffish",0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany","Blackspot(=red) seabream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,"Demersal fish"
"Germany","European conger",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,"Demersal fish"
"Germany","European eel",0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany","European hake",0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,"Demersal fish"
"Germany","Finfishes nei",0,4,0,20,21,12,13,6,2,6,4,4,4,2,4,3,3,1,2,6,"Demersal fish"
"Germany","Gurnards, searobins nei",0,0,6,11,15,16,9,18,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany","Ling",0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,"Demersal fish"
"Germany","Lumpfish(=Lumpsucker)",0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany","Mullets nei",0,0,0,0,0,0,0.5,1,2,0,4,2,2,5,1,5,0,0,0,0,"Demersal fish"
"Germany","Sea trout",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,"Demersal fish"
"Germany","Surmullets(=Red mullets) nei",0,0,0,0,0,0,0,0,0,1,0,1,8,11,14,4,0,1,1,0,"Demersal fish"
"Germany, Fed. Rep. of","Allis and twaite shads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany, Fed. Rep. of","Angler(=Monk)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany, Fed. Rep. of","Atlantic redfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany, Fed. Rep. of","Atlantic wolffish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany, Fed. Rep. of","European eel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany, Fed. Rep. of","European hake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany, Fed. Rep. of","Finfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany, Fed. Rep. of","Gurnards, searobins nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany, Fed. Rep. of","Ling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany, Fed. Rep. of","Tusk(=Cusk)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Germany, Fed. Rep. of","Wolffishes(=Catfishes) nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Netherlands","Allis and twaite shads",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Netherlands","Angler(=Monk)",5,10,14,20,15,17,11,15,10,15,6,5,1,0,1,0,1,1,0,2,"Demersal fish"
"Netherlands","Atlantic redfishes nei",0,0,0,1,2,13,7,5,1,3,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"Netherlands","Atlantic wolffish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
