Species
Aquatic invertebrates nei
Cartilaginous fishes nei
"Catsharks, nursehounds nei"
"Herrings, sardines nei"
Diadromous fishes nei
Dogfishes nei
Gadiformes nei
"Gurnards, searobins nei"
"Porgies, seabreams nei"
Starry ray
Beaked redfish
"Cuttlefish, bobtail squids nei"
Golden redfish
Northern shortfin squid
Norway pout
Albacore
Angelshark
Argentine shortfin squid
Artic cod
Cephalopods nei
"Clams, etc. nei"
Common European bittersweet
Crangonid shrimps nei
"Dogfish sharks, etc. nei"
Flatfishes nei
Greenland halibut
Northern bluefin tuna
Ratfishes nei
"Scorpionfishes, rockfishes nei"
Spotted seabass
Thickback soles
Lefteye flounders nei
"Rays, stingrays, mantas nei"
Freshwater fishes nei
Atlantic surf clam
Brown seaweeds
Common periwinkle
"Groupers, seabasses nei"
"Octopuses, etc. nei"
Razor clams nei
Starfishes nei
Sturgeons nei
Trouts nei
"Catsharks, etc. nei"
Grooved carpet shell
"Houndsharks,smoothhounds nei"
Portunus swimcrabs nei
Rocklings nei
Sardinellas nei
Sea urchins nei
Silversides(=Sand smelts) nei
"Triggerfishes, durgons nei"
"Wrasses, hogfishes, etc. nei"
Argentines
Flat and cupped oysters nei
Northern prawn
