Year,Month,scenario,variable
2007,8,historical,17.54525757
2007,9,historical,16.72221184
2007,10,historical,14.60803699
2007,11,historical,11.24376869
2007,12,historical,8.33343792
2008,1,historical,7.129430294
2008,2,historical,6.833724976
2008,3,historical,6.808523178
2008,4,historical,7.893885136
2008,5,historical,11.45468044
2008,6,historical,14.34829521
2008,7,historical,16.53909111
2008,8,historical,17.6887722
2008,9,historical,16.62816048
2008,10,historical,13.855793
2008,11,historical,10.73410511
2008,12,historical,7.528897762
2009,1,historical,5.392636299
2009,2,historical,4.575044632
2009,3,historical,5.777458668
2009,4,historical,8.34236908
2009,5,historical,11.3346405
2009,6,historical,14.35212421
2009,7,historical,17.0764637
2009,8,historical,18.26461029
2009,9,historical,16.9552002
2009,10,historical,14.60375881
2009,11,historical,12.26865101
2009,12,historical,9.012817383
2010,1,historical,5.372740746
2010,2,historical,4.077969551
2010,3,historical,4.656576157
2010,4,historical,7.299186707
2010,5,historical,9.982901573
2010,6,historical,13.3102417
2010,7,historical,16.70035172
2010,8,historical,17.56511497
2010,9,historical,16.19769859
2010,10,historical,14.14595604
2010,11,historical,10.95875645
2010,12,historical,6.234472752
2011,1,historical,4.850758553
2011,2,historical,5.212569714
2011,3,historical,5.719484806
2011,4,historical,8.516165733
2011,5,historical,11.69620323
2011,6,historical,14.40077305
2011,7,historical,16.29531479
2011,8,historical,17.034729
2011,9,historical,16.39685249
2011,10,historical,14.7840538
2011,11,historical,12.47284698
2011,12,historical,8.956021309
2012,1,historical,7.107910156
2012,2,historical,4.885202408
2012,3,historical,6.041357994
2012,4,historical,7.905747414
2012,5,historical,10.38956928
2012,6,historical,13.44557667
2012,7,historical,16.08586693
2012,8,historical,17.88313675
2012,9,historical,16.8398571
2012,10,historical,13.83625507
2012,11,historical,10.73892975
2012,12,historical,7.71693182
2013,1,historical,6.452045918
2013,2,historical,4.956857681
2013,3,historical,4.09115696
2013,4,historical,5.071022034
2013,5,historical,8.924549103
2013,6,historical,12.23742867
2013,7,historical,15.7944355
2013,8,historical,17.85222816
2013,9,historical,16.95451355
2013,10,historical,14.62140274
2013,11,historical,11.34130669
2013,12,historical,8.236865997
2014,1,historical,7.501192093
2014,2,historical,7.083074093
2014,3,historical,7.48934269
2014,4,historical,9.366195679
2014,5,historical,12.06761074
2014,6,historical,15.17433834
2014,7,historical,17.61735153
2014,8,historical,18.3293972
2014,9,historical,17.48326683
2014,10,historical,15.80524063
2014,11,historical,12.94299889
2014,12,historical,9.177445412
2015,1,historical,6.847165108
2015,2,historical,5.633166313
2015,3,historical,5.956305027
2015,4,historical,7.725296974
2015,5,historical,10.67340088
2015,6,historical,13.45378494
2015,7,historical,16.48058891
2015,8,historical,17.63381195
2015,9,historical,16.48361969
2015,10,historical,14.36576366
2015,11,historical,12.22180843
2015,12,historical,9.843605995
2016,1,historical,8.268261909
2016,2,historical,7.108678818
2016,3,historical,6.519729614
2016,4,historical,8.266379356
2016,5,historical,10.77215004
2016,6,historical,14.13968086
2016,7,historical,16.86832619
2016,8,historical,18.35692787
2016,9,historical,18.82243156
2016,10,historical,15.55530071
2016,11,historical,11.6198473
2016,12,historical,8.741760254
2017,1,historical,6.497248173
2017,2,historical,5.634370327
2017,3,historical,6.778354168
2017,4,historical,8.955688477
2017,5,historical,11.34241295
2017,6,historical,15.18756676
2017,7,historical,17.6715126
2017,8,historical,18.36107254
2017,9,historical,17.21121597
2017,10,historical,14.97606564
2017,11,historical,11.64225578
2017,12,historical,7.936380386
2018,1,historical,6.465556622
2018,2,historical,5.544045925
2018,3,historical,4.281391621
2018,4,historical,6.936476707
2018,5,historical,10.75844955
2018,6,historical,14.64610577
2018,7,historical,17.81598282
2018,8,historical,19.29794312
2018,9,historical,17.63835335
2018,10,historical,14.36976528
2018,11,historical,11.70774078
2018,12,historical,9.151117325
2019,1,historical,7.088950157
2019,2,historical,6.134572029
2019,3,historical,7.063904762
2019,4,historical,8.814171791
2019,5,historical,11.314291
2019,6,historical,14.60702801
2019,7,historical,17.37417221
2019,8,historical,18.71311378
2019,9,historical,17.51757622
2019,10,historical,15.01301765
2019,11,historical,11.59742928
2019,12,historical,8.873211861
2020,1,historical,7.66330719
2020,2,historical,6.973277092
2020,3,historical,7.012852669
2020,4,historical,8.388180733
2020,5,historical,11.25397587
2020,6,historical,14.40930748
2020,7,historical,16.63770294
2020,8,historical,18.92661095
2020,9,historical,17.61056709
2020,10,historical,14.37946129
2020,11,historical,11.97118473
2020,12,historical,9.332306862
2021,1,historical,6.851955414
2021,2,historical,5.12219429
2021,3,historical,5.721496582
2021,4,historical,7.120631695
2021,5,historical,9.748437881
2021,6,historical,14.06567669
2021,7,historical,16.54363823
2021,8,historical,17.49016571
2021,9,historical,17.22283363
2021,10,historical,15.13332558
2021,11,historical,12.32955837
2021,12,historical,8.892771721
2022,1,historical,7.685877323
2022,2,historical,6.775377274
2022,3,historical,7.286589146
2022,4,historical,8.617494583
2022,5,historical,11.62366772
2022,6,historical,14.74354172
2022,7,historical,17.64821625
2022,8,historical,19.56302643
2022,9,historical,18.6157074
2022,10,historical,15.57048893
2022,11,historical,13.3444252
2022,12,historical,9.513949394
2023,1,historical,7.970965862
2023,2,historical,6.909663677
2023,3,historical,6.785986423
2023,4,historical,8.636415482
2023,5,historical,11.21925545
2023,6,historical,14.62217236
2023,7,historical,17.09449577
2023,8,historical,17.91104507
2023,9,historical,18.47374344
2023,10,historical,16.05213928
2023,11,historical,12.23676395
2023,12,historical,9.063727379
2024,1,historical,7.370977879
2024,2,historical,7.0357728
2024,3,historical,7.933332443
2024,4,historical,9.558338165
2024,5,historical,12.16653347
2024,6,historical,14.61301517
2024,7,historical,16.78367996
2024,8,historical,18.63516998
2024,9,historical,17.79010963
2024,10,historical,15.01714325
