Year,Month,SST_month,Rownum,SST_ma1y,SST_ma4m
1999,1,7.127212829,133,11.34392691,6.750726214
1999,2,5.906819361,134,11.40482048,6.967109426
1999,3,6.295465087,135,11.54029911,8.07638327
1999,4,8.538940427,136,11.59728519,10.19160958
1999,5,11.56430821,137,11.68668313,12.82712461
1999,6,14.36772461,138,11.73150976,15.18587125
1999,7,16.83752521,139,11.67035458,16.76824823
1999,8,17.97392697,140,11.68877538,16.82889015
1999,9,17.89381612,141,11.69967926,15.48219857
1999,10,14.6102923,142,11.6370321,13.04154861
1999,11,11.45075887,143,11.58541867,10.16643226
1999,12,8.211327139,144,11.53265157,8.045826398
2000,1,6.393350716,145,11.39173928,6.789714598
2000,2,6.127868869,146,11.32444851,6.683676433
2000,3,6.426311668,147,11.25296075,7.821575524
2000,4,7.78717448,148,11.2859637,9.72323817
2000,5,10.94494708,149,11.27959078,11.90330468
2000,6,13.73451946,150,11.39101842,14.24812049
2000,7,15.14657769,151,11.43814945,15.77087445
2000,8,17.16643775,152,11.44908739,16.08882653
2000,9,17.03596292,153,11.39226555,15.14575307
2000,10,15.00632777,154,11.33840261,13.24125833
2000,11,11.37428386,155,11.27938802,10.72199838
2000,12,9.548458758,156,11.25077499,8.535197467
2001,1,6.958923148,157,11.35127389,7.127738886
2001,2,6.259124104,158,11.40559649,6.52582902
2001,3,5.744449532,159,11.33919346,7.345291209
2001,4,7.140819297,160,11.32966598,9.128300965
2001,5,10.2367719,161,11.39256712,11.7803297
2001,6,13.39116313,162,11.34927137,14.44970211
2001,7,16.35256446,163,11.28987744,15.95029078
2001,8,17.81830896,164,11.36105606,16.32549952
2001,9,16.23912659,165,11.47729317,15.26963278
2001,10,14.89199809,166,11.6056774,13.07228299
2001,11,12.12909749,167,11.67308466,10.57405033
2001,12,9.02890979,168,11.7446221,8.629367687
2002,1,6.246195945,169,11.72199307,7.381917023
2002,2,7.113267521,170,11.75983536,7.29504709
2002,3,7.139294835,171,11.88475169,8.494912858
