Year,Month,scenario,variable,rownum
2007,7,historical,16.36691475,175
2007,8,historical,17.54525757,176
2007,9,historical,16.72221184,177
2007,10,historical,14.60803699,178
2007,11,historical,11.24376869,179
2007,12,historical,8.33343792,180
2008,1,historical,7.129430294,181
2008,2,historical,6.833724976,182
2008,3,historical,6.808523178,183
2008,4,historical,7.893885136,184
2008,5,historical,11.45468044,185
2008,6,historical,14.34829521,186
2008,7,historical,16.53909111,187
2008,8,historical,17.6887722,188
2008,9,historical,16.62816048,189
2008,10,historical,13.855793,190
2008,11,historical,10.73410511,191
2008,12,historical,7.528897762,192
2009,1,historical,5.392636299,193
2009,2,historical,4.575044632,194
2009,3,historical,5.777458668,195
2009,4,historical,8.34236908,196
2009,5,historical,11.3346405,197
2009,6,historical,14.35212421,198
2009,7,historical,17.0764637,199
2009,8,historical,18.26461029,200
2009,9,historical,16.9552002,201
2009,10,historical,14.60375881,202
2009,11,historical,12.26865101,203
2009,12,historical,9.012817383,204
2010,1,historical,5.372740746,205
2010,2,historical,4.077969551,206
2010,3,historical,4.656576157,207
2010,4,historical,7.299186707,208
2010,5,historical,9.982901573,209
2010,6,historical,13.3102417,210
2010,7,historical,16.70035172,211
2010,8,historical,17.56511497,212
2010,9,historical,16.19769859,213
2010,10,historical,14.14595604,214
2010,11,historical,10.95875645,215
2010,12,historical,6.234472752,216
2011,1,historical,4.850758553,217
2011,2,historical,5.212569714,218
2011,3,historical,5.719484806,219
2011,4,historical,8.516165733,220
2011,5,historical,11.69620323,221
2011,6,historical,14.40077305,222
2011,7,historical,16.29531479,223
2011,8,historical,17.034729,224
2011,9,historical,16.39685249,225
2011,10,historical,14.7840538,226
2011,11,historical,12.47284698,227
2011,12,historical,8.956021309,228
2012,1,historical,7.107910156,229
2012,2,historical,4.885202408,230
2012,3,historical,6.041357994,231
2012,4,historical,7.905747414,232
2012,5,historical,10.38956928,233
2012,6,historical,13.44557667,234
2012,7,historical,16.08586693,235
2012,8,historical,17.88313675,236
2012,9,historical,16.8398571,237
2012,10,historical,13.83625507,238
2012,11,historical,10.73892975,239
2012,12,historical,7.71693182,240
2013,1,historical,6.452045918,241
2013,2,historical,4.956857681,242
2013,3,historical,4.09115696,243
2013,4,historical,5.071022034,244
2013,5,historical,8.924549103,245
2013,6,historical,12.23742867,246
2013,7,historical,15.7944355,247
2013,8,historical,17.85222816,248
2013,9,historical,16.95451355,249
2013,10,historical,14.62140274,250
2013,11,historical,11.34130669,251
2013,12,historical,8.236865997,252
2014,1,historical,7.501192093,253
2014,2,historical,7.083074093,254
2014,3,historical,7.48934269,255
2014,4,historical,9.366195679,256
2014,5,historical,12.06761074,257
2014,6,historical,15.17433834,258
2014,7,historical,17.61735153,259
2014,8,historical,18.3293972,260
2014,9,historical,17.48326683,261
2014,10,historical,15.80524063,262
2014,11,historical,12.94299889,263
2014,12,historical,9.177445412,264
2015,1,historical,6.847165108,265
2015,2,historical,5.633166313,266
2015,3,historical,5.956305027,267
2015,4,historical,7.725296974,268
2015,5,historical,10.67340088,269
2015,6,historical,13.45378494,270
2015,7,historical,16.48058891,271
2015,8,historical,17.63381195,272
2015,9,historical,16.48361969,273
2015,10,historical,14.36576366,274
2015,11,historical,12.22180843,275
2015,12,historical,9.843605995,276
2016,1,historical,8.268261909,277
2016,2,historical,7.108678818,278
2016,3,historical,6.519729614,279
2016,4,historical,8.266379356,280
2016,5,historical,10.77215004,281
2016,6,historical,14.13968086,282
2016,7,historical,16.86832619,283
2016,8,historical,18.35692787,284
2016,9,historical,18.82243156,285
2016,10,historical,15.55530071,286
2016,11,historical,11.6198473,287
2016,12,historical,8.741760254,288
2017,1,historical,6.497248173,289
2017,2,historical,5.634370327,290
2017,3,historical,6.778354168,291
2017,4,historical,8.955688477,292
2017,5,historical,11.34241295,293
2017,6,historical,15.18756676,294
2017,7,historical,17.6715126,295
2017,8,historical,18.36107254,296
2017,9,historical,17.21121597,297
2017,10,historical,14.97606564,298
2017,11,historical,11.64225578,299
2017,12,historical,7.936380386,300
2018,1,historical,6.465556622,301
2018,2,historical,5.544045925,302
2018,3,historical,4.281391621,303
2018,4,historical,6.936476707,304
2018,5,historical,10.75844955,305
2018,6,historical,14.64610577,306
